Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1689,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,fr Ligue 1,23-136,1998,30.6,34.0,42.5,79.8,505.4,100.4,20.7,24.1,86.0,9.12,11.1,81.8,2.48,4.15,59.8,0.52,0.33,0.19,1.96,1.93,1.80,0.39,2.58,Matches
1690,Ibrahima Mbaye\cfbf9881,sn SEN,DF,Bologna,it Serie A,27-167,1994,1.2,29.2,40.8,71.4,403.3,246.7,16.7,20.0,83.3,10.8,14.2,76.5,0.83,5.00,16.7,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,Matches
1691,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,fr Ligue 1,20-120,2002,6.4,37.7,44.7,84.3,819.5,292.3,11.9,12.8,92.7,20.2,22.0,91.5,5.47,9.06,60.3,0.00,0.02,-0.02,0.31,2.97,0.16,0.16,1.88,Matches
1692,Bryan Mbeumo\6afaebf2,fr FRA,FWMF,Brentford,eng Premier League,22-271,1999,29.4,16.5,24.8,66.4,266.6,53.1,9.35,11.8,79.0,4.76,7.14,66.7,1.77,3.67,48.1,0.24,0.12,0.12,1.16,0.78,0.78,0.17,1.43,Matches
1693,Jason Mbock\890bc029,fr FRA,FW,Angers,fr Ligue 1,22-185,1999,0.2,15.0,25.0,60.0,160.0,0.00,15.0,20.0,75.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1694,Jordi Mboula\4887118d,es ESP,FW,Mallorca,es La Liga,23-050,1999,4.8,10.8,18.8,57.8,147.5,35.0,7.29,9.79,74.5,3.33,7.08,47.1,0.00,0.63,0.0,0.00,0.02,-0.02,0.42,0.83,0.21,0.00,0.83,Matches
1695,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,fr Ligue 1,22-058,2000,1.0,22.0,27.0,81.5,534.0,176.0,8.00,9.00,88.9,7.00,10.0,70.0,6.00,7.00,85.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1696,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,20-050,2002,15.4,16.8,23.3,71.9,269.4,63.8,8.31,9.87,84.2,6.30,8.44,74.6,1.23,2.53,48.7,0.06,0.05,0.01,0.71,1.95,0.58,0.06,1.82,Matches
1697,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,34-210,1987,15.9,48.4,58.1,83.2,899.6,194.6,19.2,21.9,87.6,21.8,24.0,90.8,5.91,9.37,63.1,0.19,0.07,0.12,0.94,3.77,1.07,0.44,4.09,Matches
1698,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,19-199,2002,0.2,45.0,65.0,69.2,725.0,25.0,20.0,30.0,66.7,25.0,30.0,83.3,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1699,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,20-164,2001,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1700,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,21-059,2001,0.1,20.0,20.0,100.0,530.0,0.00,0.00,0.00,,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1701,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,32-153,1989,15.0,18.3,30.0,60.9,562.7,361.8,3.07,3.07,100.0,8.73,8.87,98.5,6.33,17.9,35.4,0.00,0.00,0.00,0.07,0.47,0.00,0.00,0.00,Matches
1702,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,27-199,1994,29.3,29.7,39.6,75.2,682.4,262.5,10.1,12.0,84.6,12.6,15.2,82.7,6.83,11.5,59.3,0.07,0.13,-0.06,1.57,5.36,1.47,0.41,5.05,Matches
1703,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,23-250,1998,15.0,29.3,38.1,76.9,498.9,132.4,15.3,18.7,81.9,10.3,13.4,77.1,2.87,3.80,75.4,0.00,0.08,-0.08,1.20,2.40,0.87,0.13,2.47,Matches
1704,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,19-229,2002,0.0,3,4,75.0,31,2,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1705,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,30-117,1992,30.1,26.0,35.2,73.8,476.3,145.8,12.0,14.3,83.9,10.3,13.2,78.0,3.36,6.15,54.6,0.00,0.02,-0.02,0.27,2.36,0.66,0.03,2.76,Matches
1706,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,22-164,1999,30.7,22.6,32.9,68.8,434.1,128.5,10.0,11.7,85.8,8.31,10.4,79.7,3.68,8.44,43.6,0.03,0.14,-0.11,1.27,1.60,1.47,0.81,1.95,Matches
1707,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,25-148,1996,24.5,39.7,46.5,85.4,751.8,192.4,16.3,18.8,86.6,17.3,19.4,88.9,5.31,6.49,81.8,0.04,0.07,-0.02,0.73,3.92,0.37,0.04,3.76,Matches
1708,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,34-275,1987,29.4,47.2,52.9,89.2,1071.5,360.8,12.7,13.4,94.9,23.1,24.3,95.0,11.1,14.5,76.5,0.03,0.00,0.03,0.03,2.01,0.14,0.03,1.90,Matches
1709,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22-342,1999,25.8,70.2,77.9,90.0,1354.1,530.7,27.7,29.3,94.7,31.9,34.3,93.1,9.57,12.5,76.5,0.00,0.01,-0.01,0.12,6.01,0.12,0.00,5.74,Matches
1710,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,24-209,1997,7.6,27.9,38.4,72.6,537.6,191.2,10.4,11.3,91.9,14.2,17.8,80.0,3.03,7.11,42.6,0.00,0.00,0.00,0.00,1.05,0.13,0.13,1.18,Matches
1711,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,32-224,1989,20.4,26.4,36.0,73.4,654.4,248.3,6.86,7.84,87.5,12.0,14.5,83.1,7.25,12.7,57.1,0.00,0.00,-0.00,0.10,2.65,0.15,0.05,2.30,Matches
1712,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,31-050,1991,0.0,4,6,66.7,62,20,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
1713,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,19-104,2003,0.1,30.0,30.0,100.0,380.0,0.00,20.0,20.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1714,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24-296,1997,0.2,10.0,25.0,40.0,180.0,0.00,5.00,5.00,100.0,5.00,5.00,100.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1715,Filippo Melegoni\6604165d,it ITA,MFFW,Genoa,it Serie A,23-076,1999,9.6,22.7,33.1,68.6,348.8,108.1,12.4,14.6,85.0,7.71,10.6,72.5,1.56,4.38,35.7,0.00,0.11,-0.11,1.25,0.83,0.83,0.42,2.81,Matches
1716,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,24-255,1997,9.1,35.4,39.5,89.7,600.4,145.8,16.7,17.4,96.2,13.8,15.6,88.7,3.52,4.40,80.0,0.00,0.12,-0.12,1.76,4.18,1.43,0.11,3.19,Matches
1717,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,28-123,1994,17.4,35.5,41.8,85.0,602.7,115.6,17.4,19.8,87.8,13.9,15.6,89.0,3.28,4.37,75.0,0.11,0.05,0.06,0.80,2.70,0.29,0.00,3.22,Matches
1718,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,27-139,1994,20.0,47.9,55.4,86.4,883.4,270.6,20.9,22.9,91.1,20.6,23.4,87.8,5.70,7.00,81.4,0.20,0.07,0.13,0.75,2.15,0.80,0.25,4.65,Matches
1719,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,25-266,1996,10.0,60.2,66.5,90.5,1246.7,275.0,21.0,23.1,90.9,27.9,29.8,93.6,10.4,11.5,90.4,0.00,0.04,-0.04,0.60,5.80,0.40,0.00,4.00,Matches
1720,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,24-001,1998,33.8,33.1,40.2,82.3,616.6,200.7,13.6,14.7,92.2,14.9,17.2,86.6,4.05,6.89,58.8,0.03,0.04,-0.01,0.36,1.33,0.30,0.24,2.01,Matches
1721,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19-320,2002,17.4,53.6,61.3,87.3,867.4,224.5,28.8,31.3,92.1,19.8,22.3,88.9,4.14,5.57,74.2,0.06,0.13,-0.07,0.92,2.87,0.69,0.29,2.76,Matches
1722,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,30-051,1992,20.0,66.5,75.5,88.1,1365.0,378.1,23.5,25.5,92.2,29.9,31.6,94.6,11.8,16.3,72.3,0.05,0.07,-0.03,0.70,5.50,0.50,0.00,4.90,Matches
1723,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,25-118,1997,29.9,36.1,45.5,79.4,604.5,161.9,19.1,21.9,87.0,11.8,14.3,82.7,3.75,6.02,62.2,0.17,0.08,0.08,0.94,4.01,1.20,0.27,4.05,Matches
1724,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,32-123,1990,16.5,14.5,24.1,60.5,261.3,76.7,7.64,10.7,71.6,4.97,7.52,66.1,1.76,3.88,45.3,0.06,0.10,-0.04,1.03,0.55,1.09,0.85,1.64,Matches
1725,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,27-179,1994,8.6,35.6,45.3,78.5,590.9,202.6,20.0,22.6,88.7,11.5,14.8,78.0,3.72,6.28,59.3,0.00,0.19,-0.19,1.05,1.51,1.05,0.58,2.91,Matches
1726,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,22-113,2000,25.1,41.0,47.1,87.0,823.2,228.5,13.8,15.5,89.2,20.6,22.4,92.0,5.82,8.01,72.6,0.00,0.02,-0.02,0.24,2.79,0.32,0.08,3.19,Matches
1727,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27-292,1994,0.9,81.1,96.7,83.9,1505.6,502.2,28.9,33.3,86.7,42.2,42.2,100.0,8.89,15.6,57.1,0.00,0.33,-0.33,2.22,6.67,1.11,1.11,8.89,Matches
1728,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,30-065,1992,30.0,22.7,27.8,81.7,542.7,302.5,6.60,6.67,99.0,9.93,10.2,97.7,5.63,10.4,54.2,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,Matches
1729,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26-331,1995,17.2,66.1,72.0,91.8,1002.8,296.6,38.4,40.3,95.1,21.3,23.1,92.4,4.48,5.35,83.7,0.06,0.07,-0.01,0.99,3.72,0.87,0.23,3.60,Matches
1730,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29-316,1992,7.7,56.5,60.1,94.0,1031.2,149.7,23.4,24.3,96.3,25.8,27.4,94.3,5.97,6.49,92.0,0.00,0.00,0.00,0.13,3.51,0.13,0.00,1.82,Matches
1731,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23-291,1998,12.7,48.5,59.2,81.9,844.6,279.1,22.7,25.2,90.0,21.6,25.0,86.2,3.46,6.61,52.4,0.16,0.12,0.04,1.26,2.91,1.34,0.87,3.54,Matches
1732,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,25-018,1997,5.4,48.1,55.6,86.7,1216.1,358.1,7.78,9.44,82.4,26.1,28.0,93.4,13.7,17.2,79.6,0.00,0.00,0.00,0.19,4.63,0.19,0.00,4.81,Matches
1733,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,25-044,1997,6.0,23.2,26.2,88.5,596.8,331.5,5.50,5.50,100.0,8.33,8.50,98.0,9.00,11.7,77.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1734,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,32-062,1990,2.0,44.0,64.0,68.8,941.0,331.0,14.5,19.5,74.4,19.0,22.5,84.4,9.50,19.5,48.7,0.00,0.05,-0.05,1.50,11.0,1.00,0.00,6.00,Matches
1735,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25-317,1996,28.1,43.1,54.8,78.8,765.6,251.5,20.3,23.9,84.8,16.8,20.1,83.5,5.05,8.26,61.2,0.07,0.11,-0.04,0.82,5.12,1.17,0.11,5.73,Matches
1736,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19-354,2002,19.1,48.5,64.1,75.7,919.9,409.3,22.2,25.0,88.9,19.1,23.3,81.8,6.86,13.5,51.0,0.16,0.14,0.02,1.52,5.08,1.31,0.68,6.18,Matches
1737,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26-327,1995,1.9,25.8,36.3,71.0,469.5,153.7,11.1,14.2,77.8,11.6,12.6,91.7,2.63,6.32,41.7,0.00,0.37,-0.37,3.16,1.05,3.16,1.05,3.68,Matches
1738,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,25-124,1997,0.5,50.0,66.0,75.8,996.0,550.0,18.0,22.0,81.8,28.0,34.0,82.4,4.00,6.00,66.7,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,Matches
1739,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,34-364,1987,13.6,25.6,34.7,73.7,412.8,82.1,13.8,16.8,82.5,8.97,11.5,78.2,2.06,4.49,45.9,0.00,0.10,-0.10,1.76,1.84,0.96,0.07,2.72,Matches
1740,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,22-064,2000,33.6,27.4,36.3,75.5,675.2,321.3,6.10,6.13,99.5,14.0,14.2,98.7,7.02,15.7,44.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1741,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34-315,1987,20.9,57.5,68.2,84.3,989.6,326.5,29.6,33.3,88.7,20.2,22.6,89.4,6.41,8.90,72.0,0.62,0.35,0.27,2.58,8.09,3.83,0.24,10.6,Matches
1742,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30-357,1991,15.1,23.1,34.6,66.7,370.7,109.5,12.4,16.2,76.6,7.62,11.4,66.9,2.32,5.23,44.3,0.00,0.11,-0.11,1.06,1.52,1.19,0.40,2.98,Matches
1743,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,30-235,1991,15.6,57.6,73.8,78.0,1054.9,419.3,24.4,27.6,88.4,26.4,32.8,80.5,5.83,10.8,54.2,0.26,0.17,0.09,0.90,3.59,1.54,0.83,6.73,Matches
1744,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,33-239,1988,13.6,42.6,50.2,84.8,1019.6,299.1,9.85,10.4,94.4,21.8,23.8,91.7,10.4,14.9,70.0,0.00,0.00,0.00,0.00,1.91,0.07,0.00,1.40,Matches
1745,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,26-168,1995,25.3,35.3,47.4,74.6,608.8,282.5,17.2,19.2,89.5,13.6,18.1,75.5,3.68,7.35,50.0,0.00,0.03,-0.03,0.71,3.16,0.32,0.12,4.03,Matches
1746,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26-290,1995,9.3,25.4,32.4,78.4,625.7,211.3,6.02,7.42,81.2,12.4,13.8,89.8,6.88,11.1,62.1,0.00,0.01,-0.01,0.11,0.65,0.00,0.00,1.29,Matches
1747,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,22-252,1999,0.8,30.0,35.0,85.7,532.5,86.3,16.3,17.5,92.9,6.25,8.75,71.4,6.25,7.50,83.3,0.00,0.00,0.00,0.00,3.75,0.00,0.00,2.50,Matches
1748,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31-294,1990,3.4,20.9,32.6,64.0,329.1,63.8,10.6,13.8,76.6,5.88,10.9,54.1,2.94,4.41,66.7,0.29,0.29,0.00,1.47,0.59,0.88,0.59,2.06,Matches
1749,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,19-062,2003,0.5,74.0,80.0,92.5,1018.0,214.0,48.0,50.0,96.0,22.0,22.0,100.0,4.00,4.00,100.0,2.00,0.20,1.80,2.00,2.00,0.00,0.00,0.00,Matches
1750,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,22-244,1999,6.8,13.2,19.4,68.2,191.2,22.6,7.35,9.41,78.1,4.26,5.59,76.3,0.59,1.62,36.4,0.15,0.04,0.10,0.74,0.29,0.15,0.15,0.29,Matches
1751,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,22-092,2000,0.8,16.3,37.5,43.3,192.5,32.5,13.8,18.8,73.3,2.50,7.50,33.3,0.00,3.75,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1752,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22-342,1999,1.0,11.0,17.0,64.7,130.0,25.0,8.00,9.00,88.9,1.00,4.00,25.0,1.00,2.00,50.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
1753,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,21-186,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1754,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,18-069,2004,4.7,35.1,50.0,70.2,590.2,247.4,17.2,20.9,82.7,14.7,19.6,75.0,2.34,8.09,28.9,0.21,0.06,0.15,0.43,2.13,0.21,0.00,3.40,Matches
1755,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,24-205,1997,29.5,58.4,64.9,90.0,1325.7,352.1,13.7,15.5,88.4,32.3,33.9,95.5,12.0,14.5,82.5,0.00,0.00,0.00,0.03,3.42,0.03,0.00,2.78,Matches
1756,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,28-066,1994,14.7,20.1,24.7,81.3,303.1,34.3,11.0,12.9,85.2,5.99,7.01,85.4,1.36,1.70,80.0,0.07,0.14,-0.07,1.02,1.09,0.68,0.00,1.22,Matches
1757,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,27-067,1995,31.4,55.6,68.3,81.4,940.0,229.9,28.1,32.1,87.3,19.7,23.5,84.1,5.86,9.14,64.1,0.25,0.18,0.08,1.43,4.65,1.50,0.35,4.68,Matches
1758,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,25-074,1997,27.0,19.9,38.2,52.0,800.9,555.5,1.63,1.70,95.7,7.89,8.07,97.7,10.3,28.4,36.4,0.00,0.00,0.00,0.00,2.19,0.04,0.00,0.00,Matches
1759,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,24-107,1998,30.9,54.1,60.6,89.3,1173.8,330.2,16.9,17.8,94.7,26.3,28.0,93.9,10.3,13.5,76.2,0.06,0.04,0.03,0.32,4.50,0.23,0.03,2.20,Matches
1760,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,31-028,1991,7.4,45.8,58.0,79.0,883.1,238.6,16.4,19.1,85.8,21.4,25.3,84.5,6.62,10.9,60.5,0.00,0.08,-0.08,0.95,3.24,0.81,0.27,4.32,Matches
1761,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,27-210,1994,26.8,39.6,49.4,80.2,812.2,268.7,15.7,17.5,89.7,15.6,17.4,89.5,7.24,12.5,57.7,0.11,0.13,-0.02,1.34,5.15,0.78,0.41,5.04,Matches
1762,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,29-224,1992,16.2,20.7,28.6,72.6,341.7,91.9,9.94,13.0,76.7,7.90,10.1,78.0,1.91,3.64,52.5,0.19,0.11,0.07,0.62,1.11,0.74,0.19,1.98,Matches
1763,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19-292,2002,0.6,40.0,50.0,80.0,608.3,125.0,23.3,26.7,87.5,15.0,18.3,81.8,1.67,1.67,100.0,1.67,0.33,1.33,1.67,1.67,5.00,0.00,6.67,Matches
1764,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,36-121,1986,8.0,61.4,75.0,81.8,1233.1,385.3,22.6,26.0,87.0,28.0,31.9,87.8,9.88,15.0,65.8,0.13,0.23,-0.10,1.75,7.88,2.00,0.25,7.13,Matches
1765,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,26-149,1995,26.3,17.3,25.6,67.6,257.4,44.1,10.0,14.2,70.8,4.41,6.58,67.1,1.63,2.55,64.2,0.11,0.08,0.04,0.61,1.29,0.42,0.00,1.41,Matches
1766,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,27-224,1994,9.2,31.1,37.8,82.2,670.2,193.9,9.35,10.9,86.0,13.8,16.0,86.4,6.52,8.80,74.1,0.00,0.00,0.00,0.00,1.63,0.00,0.00,1.30,Matches
1767,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,27-109,1995,1.1,31.8,37.3,85.4,466.4,77.3,18.2,22.7,80.0,11.8,12.7,92.9,0.91,0.91,100.0,0.00,0.36,-0.36,0.91,2.73,0.00,0.00,1.82,Matches
1768,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,29-053,1993,30.4,36.4,45.1,80.7,802.4,285.5,9.57,11.2,85.3,20.2,22.2,91.1,6.35,11.0,58.0,0.10,0.05,0.05,0.30,2.27,0.20,0.03,2.30,Matches
1769,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22-357,1999,8.8,55.2,65.3,84.5,1008.4,322.6,24.7,26.6,92.7,23.0,26.2,87.4,6.48,10.5,62.0,0.11,0.10,0.01,1.02,2.84,1.48,0.80,3.07,Matches
1770,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24-321,1997,18.6,11.5,17.1,67.3,183.2,20.2,6.02,7.96,75.7,4.62,6.72,68.8,0.54,1.18,45.5,0.00,0.02,-0.02,0.48,0.54,0.38,0.05,0.86,Matches
1771,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32-337,1989,19.5,36.5,47.5,76.8,665.5,272.0,16.6,18.8,88.3,15.0,18.9,79.6,4.36,8.15,53.5,0.00,0.03,-0.03,0.62,2.56,1.03,0.36,3.85,Matches
1772,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,26-200,1995,8.6,37.0,44.7,82.8,589.1,150.0,19.8,22.6,87.6,12.7,14.8,85.8,2.79,4.65,60.0,0.35,0.35,0.00,2.56,2.56,2.33,0.12,4.88,Matches
1773,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,22-106,2000,8.5,45.4,59.2,76.7,810.7,321.8,20.0,22.0,90.9,20.2,24.9,81.1,4.35,10.4,42.0,0.12,0.12,0.00,0.82,2.82,1.06,0.47,4.00,Matches
1774,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,18-275,2003,0.9,46.7,51.1,91.3,1075.6,410.0,13.3,13.3,100.0,21.1,21.1,100.0,12.2,16.7,73.3,0.00,0.33,-0.33,2.22,5.56,0.00,0.00,5.56,Matches
1775,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,22-246,1999,31.3,39.9,54.7,73.0,677.7,324.3,18.5,21.0,88.1,17.6,22.9,77.0,3.00,8.02,37.5,0.06,0.04,0.02,0.61,2.84,1.12,0.48,3.87,Matches
1776,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31-348,1990,27.7,23.5,30.1,78.0,553.8,170.0,5.63,6.46,87.2,12.1,14.1,85.9,5.45,8.99,60.6,0.00,0.00,0.00,0.07,0.58,0.04,0.00,0.87,Matches
1777,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,25-048,1997,15.6,33.8,48.8,69.3,608.9,283.1,15.4,18.9,81.7,13.2,17.7,74.6,4.29,9.36,45.9,0.32,0.18,0.14,1.35,2.50,1.22,0.71,4.42,Matches
1778,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,33-104,1989,27.7,35.0,42.3,82.7,627.9,149.0,16.2,18.5,87.7,13.8,16.2,85.3,4.37,5.52,79.1,0.18,0.17,0.01,1.37,3.03,1.52,0.22,4.04,Matches
1779,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,23-028,1999,18.9,31.2,42.6,73.2,504.1,147.2,16.0,19.4,82.8,11.8,15.8,74.6,2.49,4.34,57.3,0.16,0.09,0.07,0.74,2.75,1.01,0.16,3.54,Matches
1780,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,34-021,1988,27.0,10.1,15.6,64.8,164.1,21.8,5.00,7.11,70.3,3.67,5.52,66.4,0.78,1.44,53.8,0.15,0.04,0.10,0.48,0.48,0.26,0.07,0.81,Matches
1781,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,33-043,1989,4.4,28.4,34.8,81.7,655.5,185.5,5.68,7.05,80.6,16.8,18.4,91.4,5.91,8.86,66.7,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.68,Matches
1782,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,36-238,1985,20.7,67.3,76.3,88.2,1270.0,360.8,30.6,32.6,94.1,24.3,27.0,90.0,10.5,13.1,80.1,0.24,0.15,0.09,1.55,7.73,1.64,0.14,7.29,Matches
1783,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22-345,1999,28.0,14.4,19.4,74.4,217.4,43.5,8.68,10.5,82.4,3.57,5.14,69.4,1.32,2.04,64.9,0.14,0.14,0.01,1.04,1.04,0.61,0.14,1.36,Matches
1784,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28-306,1993,3.9,36.4,45.6,79.8,639.2,181.3,15.6,18.2,85.9,15.4,19.0,81.1,3.85,5.13,75.0,0.00,0.08,-0.08,1.03,3.85,1.54,1.03,3.08,Matches
1785,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,20-136,2001,1.4,27.9,30.0,92.9,416.4,105.0,15.7,17.1,91.7,10.7,10.7,100.0,0.71,0.71,100.0,0.00,0.07,-0.07,0.71,2.14,1.43,0.71,3.57,Matches
