Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
177,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,fr Ligue 1,19-108,2003,0.6,13.3,18.3,72.7,180.0,33.3,6.67,8.33,80.0,5.00,6.67,75.0,0.00,0.00,,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,Matches
178,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,it Serie A,27-058,1995,12.9,14.2,19.5,72.9,199.9,32.6,7.98,10.2,78.6,4.26,5.66,75.3,0.85,1.32,64.7,0.08,0.07,0.01,0.62,1.16,0.31,0.00,0.85,Matches
179,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,es La Liga,32-293,1989,3.1,15.2,20.6,73.4,251.6,65.5,7.74,9.68,80.0,6.45,7.74,83.3,0.97,2.26,42.9,0.00,0.00,0.00,0.32,1.29,0.97,0.00,2.90,Matches
180,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,es La Liga,34-065,1988,22.5,34.0,44.6,76.4,577.4,229.6,16.5,18.4,89.6,14.1,18.2,77.5,2.62,6.04,43.4,0.00,0.02,-0.02,0.36,1.82,0.53,0.18,3.20,Matches
181,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,fr Ligue 1,23-099,1999,10.6,70.5,76.3,92.3,1455.3,374.8,22.9,24.0,95.7,36.0,37.5,96.0,11.0,13.9,79.6,0.00,0.00,0.00,0.09,3.30,0.00,0.00,2.74,Matches
182,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,es La Liga,30-124,1992,31.0,38.4,50.5,75.9,735.0,342.8,15.9,18.0,88.7,16.5,20.7,79.8,5.29,9.68,54.7,0.06,0.10,-0.04,1.10,2.55,1.10,0.81,3.90,Matches
183,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,it Serie A,25-122,1997,5.0,46.2,54.6,84.6,781.8,217.4,21.0,22.6,92.9,20.2,23.8,84.9,4.00,5.40,74.1,0.00,0.04,-0.04,0.80,2.60,1.60,0.80,3.60,Matches
184,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,eng Premier League,20-306,2001,0.8,5.00,10.0,50.0,75.0,7.50,2.50,5.00,50.0,2.50,3.75,66.7,0.00,1.25,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
185,Abdoulaye Bamba\7fecbcdb,ci CIV,DF,Angers,fr Ligue 1,32-010,1990,4.7,27.0,34.9,77.4,435.3,193.4,14.5,15.3,94.4,10.9,13.8,78.5,1.49,3.83,38.9,0.00,0.02,-0.02,0.43,1.06,0.64,0.43,2.34,Matches
186,Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,Lille,fr Ligue 1,26-040,1996,24.5,31.9,42.4,75.2,522.9,174.4,18.2,21.5,84.6,9.18,11.1,83.0,3.39,6.86,49.4,0.04,0.13,-0.09,1.76,2.49,1.47,0.41,3.96,Matches
187,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,eng Premier League,28-242,1993,6.2,13.7,16.6,82.5,217.6,34.0,7.74,8.55,90.6,4.19,5.00,83.9,1.45,2.10,69.2,0.32,0.16,0.16,0.97,0.97,0.81,0.32,1.13,Matches
188,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,it Serie A,27-037,1995,19.2,26.3,34.8,75.5,468.8,161.8,12.6,14.1,88.9,10.4,13.1,79.0,2.81,5.73,49.1,0.05,0.13,-0.07,1.51,2.24,1.98,0.73,4.48,Matches
189,Mattia Bani\0821331c,it ITA,DF,Genoa,it Serie A,28-146,1993,11.5,25.2,34.5,73.0,541.4,202.3,7.22,8.26,87.4,13.1,16.1,81.6,4.52,9.30,48.6,0.00,0.00,0.00,0.09,1.13,0.00,0.00,2.09,Matches
190,Simon Banza\be47b750,fr FRA,FW,Lens,fr Ligue 1,25-265,1996,1.4,14.3,20.7,69.0,263.6,55.0,7.86,11.4,68.8,4.29,5.00,85.7,1.43,2.86,50.0,0.71,0.43,0.29,1.43,1.43,0.00,0.00,0.71,Matches
191,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,eng Premier League,24-027,1998,9.8,23.8,28.7,82.9,415.6,81.7,11.5,13.2,87.6,9.08,10.6,85.6,2.55,3.57,71.4,0.10,0.05,0.05,0.92,2.14,0.61,0.10,2.04,Matches
192,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,it Serie A,27-153,1994,25.0,34.7,43.2,80.3,522.6,145.8,19.1,22.2,86.0,12.3,14.7,83.4,1.92,3.00,64.0,0.12,0.13,-0.01,1.08,2.80,0.92,0.04,4.16,Matches
193,Barbero\981c1863,es ESP,FWMF,Osasuna,es La Liga,23-261,1998,0.2,30.0,60.0,50.0,315.0,0.00,30.0,50.0,60.0,0.00,10.0,0.0,0.00,0.00,,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
194,Danilo Barbosa\0557ff4f,br BRA,DF,Nice,fr Ligue 1,26-066,1996,1.0,33.0,41.0,80.5,677.0,148.0,8.00,9.00,88.9,20.0,22.0,90.9,5.00,9.00,55.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Matches
195,Barcia\0c717ae6,es ESP,DF,Granada,es La Liga,21-125,2000,0.8,10.0,27.5,36.4,225.0,2.50,2.50,3.75,66.7,5.00,13.8,36.4,2.50,10.0,25.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
196,Bradley Barcola\a0d55a09,fr FRA,FW,Lyon,fr Ligue 1,19-245,2002,1.8,22.8,30.6,74.5,304.4,134.4,13.3,16.7,80.0,6.67,8.33,80.0,1.11,2.22,50.0,0.56,0.44,0.11,2.22,1.67,1.67,0.56,5.00,Matches
