Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1696,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,20-050,2002,15.4,23.3,22.1,1.23,0.32,0.06,6.04,0.71,1.43,0.39,0.13,0.13,0.00,17.5,2.92,2.86,19.4,2.40,0.78,0.06,0.13,16.8,0.00,0.32,1.49,1.10,Matches
1697,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,34-210,1987,15.9,58.1,55.2,2.89,1.38,0.06,11.8,0.88,0.94,0.13,0.00,0.13,0.00,42.4,6.86,8.87,12.5,41.7,1.32,0.63,0.44,48.4,0.06,1.01,1.64,1.45,Matches
1698,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,19-199,2002,0.2,65.0,65.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,50.0,15.0,0.00,50.0,10.0,0.00,0.00,0.00,45.0,0.00,0.00,0.00,0.00,Matches
1699,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,20-164,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Matches
1700,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,21-059,2001,0.1,20.0,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,10.0,10.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
1701,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,32-153,1989,15.0,30.0,20.3,9.67,2.40,0.00,1.53,0.53,0.00,0.00,0.00,0.00,0.00,13.1,0.80,16.1,3.07,21.2,0.00,0.00,4.07,18.3,0.00,1.40,0.33,0.07,Matches
1702,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,27-199,1994,29.3,39.6,35.4,4.20,2.15,0.24,5.80,3.14,1.64,1.77,1.37,0.20,0.10,25.2,3.41,11.0,31.6,5.60,1.54,0.20,0.03,29.7,0.17,0.82,1.81,0.75,Matches
1703,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,23-250,1998,15.0,38.1,35.6,2.47,0.27,0.07,6.53,0.87,1.13,0.07,0.00,0.07,0.00,24.9,6.47,6.67,6.33,26.1,2.00,2.07,0.33,29.3,0.07,0.53,2.27,1.33,Matches
1704,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,19-229,2002,0.0,4,4,0,0,0,2,0,0,0,0,0,0,3,0,1,0,4,0,0,0,3,0,0,0,0,Matches
1705,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,30-117,1992,30.1,35.2,34.2,1.03,0.43,0.03,7.31,0.90,0.86,0.07,0.07,0.00,0.00,21.3,6.61,7.34,24.8,4.95,2.66,0.43,0.13,26.0,0.10,0.56,1.33,1.23,Matches
1706,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,22-164,1999,30.7,32.9,30.1,2.80,1.17,0.13,7.17,2.48,3.39,1.37,1.17,0.03,0.00,21.1,3.03,8.70,30.1,1.27,0.72,0.23,0.10,22.6,0.16,0.72,1.04,1.86,Matches
1707,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,25-148,1996,24.5,46.5,45.2,1.27,1.14,0.04,7.67,1.47,0.33,0.00,0.00,0.00,0.00,37.0,3.76,5.71,2.37,40.5,1.63,0.04,0.08,39.7,0.20,0.53,1.22,0.65,Matches
1708,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,34-275,1987,29.4,52.9,48.9,4.05,3.61,0.00,3.81,1.22,0.07,0.00,0.00,0.00,0.00,37.9,4.56,10.4,5.20,44.2,2.52,0.24,0.20,47.2,0.14,0.37,0.44,0.51,Matches
1709,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22-342,1999,25.8,77.9,74.4,3.57,2.33,0.00,7.29,2.17,0.16,0.00,0.00,0.00,0.00,64.9,5.39,7.67,67.2,6.24,2.36,0.93,0.19,70.2,0.08,0.93,1.78,0.89,Matches
1710,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,24-209,1997,7.6,38.4,31.4,6.97,1.05,0.00,5.13,0.92,0.79,0.00,0.00,0.00,0.00,23.2,5.92,9.34,3.42,26.1,2.50,5.79,0.13,27.9,0.13,0.79,1.18,1.71,Matches
1711,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,32-224,1989,20.4,36.0,34.7,1.32,1.13,0.00,5.98,1.96,0.15,0.00,0.00,0.00,0.00,17.8,3.92,14.3,25.2,4.61,3.58,0.20,0.15,26.4,0.15,0.93,0.64,0.69,Matches
1712,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,31-050,1991,0.0,6,6,0,0,0,1,0,0,0,0,0,0,4,1,1,1,4,1,0,0,4,0,0,0,1,Matches
1713,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,19-104,2003,0.1,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
1714,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24-296,1997,0.2,25.0,20.0,5.00,5.00,0.00,20.0,0.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,15.0,0.00,20.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,5.00,Matches
1715,Filippo Melegoni\6604165d,it ITA,MFFW,Genoa,it Serie A,23-076,1999,9.6,33.1,31.6,1.56,0.52,0.00,8.33,0.94,1.98,0.83,0.52,0.31,0.00,20.5,5.10,7.50,4.27,26.3,1.15,0.10,0.63,22.7,0.10,0.94,1.67,2.19,Matches
1716,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,24-255,1997,9.1,39.5,38.1,1.32,0.22,0.33,6.59,0.11,0.22,0.22,0.00,0.00,0.00,30.5,4.40,4.51,33.1,4.84,0.66,0.11,0.11,35.4,0.22,0.22,0.66,0.88,Matches
1717,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,28-123,1994,17.4,41.8,40.9,0.92,0.63,0.06,9.25,0.80,0.17,0.00,0.00,0.00,0.00,33.7,5.29,2.76,3.28,35.3,1.32,0.29,0.75,35.5,0.17,0.46,1.38,0.86,Matches
1718,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,27-139,1994,20.0,55.4,46.0,9.35,0.60,0.05,5.90,1.00,0.85,0.00,0.00,0.00,0.00,39.0,10.8,5.55,33.0,11.1,1.70,8.75,0.35,47.9,0.15,0.50,2.05,1.25,Matches
1719,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,25-266,1996,10.0,66.5,62.9,3.60,3.40,0.00,8.30,2.00,0.10,0.00,0.00,0.00,0.00,54.1,6.90,5.50,3.20,61.1,1.40,0.20,0.10,60.2,0.10,0.20,1.20,1.30,Matches
1720,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,24-001,1998,33.8,40.2,34.1,6.07,1.12,0.00,4.23,1.12,1.36,0.00,0.00,0.00,0.00,26.6,6.66,6.95,5.33,28.1,1.01,4.94,0.27,33.1,0.06,0.80,0.92,0.80,Matches
1721,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19-320,2002,17.4,61.3,52.7,8.62,0.75,0.17,7.07,0.86,1.72,0.40,0.23,0.06,0.00,45.5,11.3,4.60,45.6,6.84,1.03,7.47,0.11,53.6,0.11,0.57,1.72,1.78,Matches
1722,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,30-051,1992,20.0,75.5,72.6,2.90,2.20,0.10,8.80,2.65,0.15,0.35,0.20,0.10,0.05,59.5,4.90,11.1,8.25,63.5,2.60,0.30,0.20,66.5,0.15,0.85,1.45,0.55,Matches
1723,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,25-118,1997,29.9,45.5,44.6,0.84,0.27,0.13,7.36,1.14,1.30,0.03,0.00,0.03,0.00,32.3,6.39,6.76,36.5,4.95,1.84,0.50,0.30,36.1,0.23,1.07,1.84,1.47,Matches
1724,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,32-123,1990,16.5,24.1,23.2,0.91,0.06,0.00,6.30,1.27,2.79,0.06,0.00,0.00,0.00,12.1,4.67,7.27,3.88,15.0,2.48,0.55,0.18,14.5,0.06,0.91,0.85,1.58,Matches
1725,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,27-179,1994,8.6,45.3,39.4,5.93,0.00,0.23,5.93,1.51,2.33,0.00,0.00,0.00,0.00,28.5,8.72,8.14,25.8,11.4,1.28,5.93,0.35,35.6,0.12,1.63,1.16,2.09,Matches
1726,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,22-113,2000,25.1,47.1,46.0,1.16,1.12,0.08,6.25,1.16,0.16,0.00,0.00,0.00,0.00,39.0,2.91,5.22,5.38,39.8,1.27,0.04,0.20,41.0,0.04,0.44,1.51,0.60,Matches
1727,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27-292,1994,0.9,96.7,83.3,13.3,4.44,0.00,1.11,3.33,4.44,0.00,0.00,0.00,0.00,67.8,17.8,11.1,82.2,2.22,3.33,8.89,0.00,81.1,0.00,0.00,1.11,6.67,Matches
1728,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,30-065,1992,30.0,27.8,21.1,6.73,1.43,0.00,3.20,0.63,0.00,0.00,0.00,0.00,0.00,19.0,1.27,7.57,2.43,20.9,0.03,0.00,3.77,22.7,0.00,0.50,0.27,0.07,Matches
1729,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26-331,1995,17.2,72.0,63.8,8.20,0.81,0.06,8.02,0.93,1.40,0.00,0.00,0.00,0.00,56.9,11.1,4.01,48.1,15.0,0.64,7.38,0.35,66.1,0.06,0.64,1.34,1.40,Matches
1730,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29-316,1992,7.7,60.1,58.6,1.56,1.56,0.00,9.35,1.56,0.00,0.00,0.00,0.00,0.00,52.6,3.90,3.64,4.94,53.6,0.78,0.00,0.13,56.5,0.00,0.65,0.52,0.78,Matches
1731,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23-291,1998,12.7,59.2,49.9,9.29,0.71,0.00,8.03,1.42,2.76,0.08,0.00,0.00,0.00,37.6,12.7,8.90,42.7,5.28,1.34,8.50,0.31,48.5,0.24,1.10,1.57,2.36,Matches
1732,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,25-018,1997,5.4,55.6,53.5,2.04,1.85,0.00,5.93,2.04,0.19,0.00,0.00,0.00,0.00,40.9,3.70,10.9,7.41,43.1,3.70,0.00,0.00,48.1,0.19,0.93,1.48,0.56,Matches
1733,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,25-044,1997,6.0,26.2,20.2,6.00,1.17,0.00,2.00,0.33,0.00,0.17,0.00,0.17,0.00,14.8,2.67,8.67,15.3,4.83,0.00,0.00,6.00,23.2,0.17,0.17,0.17,0.00,Matches
1734,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,32-062,1990,2.0,64.0,60.0,4.00,2.00,0.00,7.00,3.50,0.50,2.00,1.00,1.00,0.00,33.5,10.0,20.5,49.0,10.0,4.00,0.00,0.50,44.0,0.50,2.00,5.50,1.50,Matches
1735,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25-317,1996,28.1,54.8,53.8,1.00,0.89,0.14,12.8,1.35,0.60,0.00,0.00,0.00,0.00,39.5,6.37,8.90,44.4,5.20,2.06,0.07,0.21,43.1,0.36,0.75,2.17,1.64,Matches
1736,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19-354,2002,19.1,64.1,50.6,13.5,1.36,0.05,5.71,2.98,3.51,1.88,0.58,1.10,0.05,36.9,11.9,15.2,48.1,3.87,1.52,10.2,0.05,48.5,0.21,1.31,2.98,1.99,Matches
1737,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26-327,1995,1.9,36.3,32.6,3.68,2.11,0.00,6.32,2.63,2.11,1.58,1.05,0.53,0.00,22.6,3.68,10.0,25.8,5.26,2.63,0.00,0.53,25.8,0.00,1.58,1.58,2.11,Matches
1738,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,25-124,1997,0.5,66.0,44.0,22.0,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,26.0,20.0,4.00,32.0,4.00,22.0,0.00,50.0,0.00,0.00,2.00,8.00,Matches
1739,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,34-364,1987,13.6,34.7,33.2,1.47,0.15,0.07,5.74,0.81,0.96,0.74,0.22,0.37,0.00,24.1,4.56,6.03,2.65,29.9,1.32,0.15,0.51,25.6,0.22,0.51,1.69,1.47,Matches
1740,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,22-064,2000,33.6,36.3,26.9,9.35,2.08,0.00,2.59,0.83,0.00,0.00,0.00,0.00,0.00,21.9,1.70,12.6,23.2,5.57,0.03,0.00,6.90,27.4,0.12,1.13,0.30,0.06,Matches
1741,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34-315,1987,20.9,68.2,64.8,3.44,1.15,0.96,12.0,2.01,0.86,1.58,0.62,0.10,0.05,54.7,6.89,6.60,61.6,5.65,0.48,0.14,0.10,57.5,0.67,0.38,3.40,1.53,Matches
1742,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30-357,1991,15.1,34.6,32.4,2.25,0.40,0.07,6.56,0.86,2.32,1.26,0.93,0.07,0.07,21.5,5.50,7.62,27.1,3.25,1.99,0.60,0.13,23.1,0.07,1.06,1.79,1.59,Matches
1743,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,30-235,1991,15.6,73.8,64.9,8.97,0.45,0.13,9.17,1.22,3.01,0.00,0.00,0.00,0.00,44.7,13.8,15.4,6.67,54.0,3.21,8.53,0.13,57.6,0.38,0.96,3.21,2.18,Matches
1744,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,33-239,1988,13.6,50.2,48.2,2.06,1.69,0.07,4.49,2.43,0.15,0.00,0.00,0.00,0.00,38.5,2.87,8.90,7.13,40.5,1.10,0.37,0.22,42.6,0.15,0.74,0.96,0.59,Matches
1745,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,26-168,1995,25.3,47.4,35.7,11.7,0.71,0.00,5.65,0.43,1.03,0.00,0.00,0.00,0.00,22.4,12.8,12.1,2.69,30.7,2.37,10.9,0.08,35.3,0.20,0.75,1.62,1.94,Matches
1746,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26-290,1995,9.3,32.4,30.4,1.94,1.94,0.00,4.09,1.72,0.00,0.00,0.00,0.00,0.00,20.1,3.44,8.82,3.66,23.9,3.33,0.00,0.11,25.4,0.00,1.29,1.18,0.32,Matches
1747,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,22-252,1999,0.8,35.0,35.0,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,31.3,3.75,0.00,0.00,33.8,0.00,0.00,1.25,30.0,0.00,0.00,1.25,0.00,Matches
1748,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31-294,1990,3.4,32.6,30.6,2.06,0.29,0.00,10.9,0.59,2.35,0.00,0.00,0.00,0.00,17.6,9.12,5.88,17.9,5.88,2.65,0.59,1.18,20.9,0.00,0.88,1.47,1.47,Matches
1749,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,19-062,2003,0.5,80.0,76.0,4.00,4.00,0.00,16.0,0.00,0.00,0.00,0.00,0.00,0.00,78.0,2.00,0.00,2.00,78.0,0.00,0.00,0.00,74.0,0.00,0.00,4.00,2.00,Matches
1750,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,22-244,1999,6.8,19.4,18.4,1.03,0.00,0.00,5.00,0.15,0.74,0.00,0.00,0.00,0.00,12.6,3.53,3.24,1.76,14.4,1.47,0.00,0.74,13.2,0.29,0.15,0.74,1.32,Matches
1751,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,22-092,2000,0.8,37.5,37.5,0.00,0.00,0.00,7.50,1.25,5.00,0.00,0.00,0.00,0.00,26.3,3.75,7.50,5.00,27.5,2.50,0.00,0.00,16.3,1.25,1.25,2.50,3.75,Matches
1752,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22-342,1999,1.0,17.0,17.0,0.00,0.00,0.00,10.0,1.00,0.00,0.00,0.00,0.00,0.00,9.00,7.00,1.00,13.0,0.00,0.00,0.00,0.00,11.0,0.00,1.00,1.00,1.00,Matches
1753,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,21-186,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
1754,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,18-069,2004,4.7,50.0,39.6,10.4,0.85,0.00,7.23,0.64,2.13,0.21,0.00,0.21,0.00,27.0,11.7,11.3,2.98,36.2,1.28,9.36,0.00,35.1,0.21,1.70,2.55,2.13,Matches
1755,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,24-205,1997,29.5,64.9,62.3,2.54,2.41,0.00,6.98,2.92,0.07,0.00,0.00,0.00,0.00,49.1,7.12,8.68,6.92,51.7,3.25,0.14,0.17,58.4,0.03,0.81,1.12,0.58,Matches
1756,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,28-066,1994,14.7,24.7,22.7,2.04,0.00,0.20,6.26,0.75,0.20,0.00,0.00,0.00,0.00,18.0,4.35,2.38,19.6,2.11,1.16,0.34,0.54,20.1,0.07,0.41,0.68,0.95,Matches
1757,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,27-067,1995,31.4,68.3,67.0,1.31,0.89,0.25,12.8,1.31,1.53,0.06,0.00,0.06,0.00,47.1,11.3,9.87,11.3,51.5,2.52,0.32,0.57,55.6,0.25,1.18,2.87,1.40,Matches
1758,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,25-074,1997,27.0,38.2,28.1,10.0,3.70,0.00,2.85,1.89,0.00,0.00,0.00,0.00,0.00,12.1,0.81,25.3,2.19,30.4,0.04,0.00,3.56,19.9,0.30,1.67,0.41,0.15,Matches
1759,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,24-107,1998,30.9,60.6,57.6,3.01,1.36,0.13,5.99,2.46,0.39,0.00,0.00,0.00,0.00,47.6,4.66,8.35,4.60,51.2,2.33,0.65,0.32,54.1,0.26,1.04,0.87,0.65,Matches
1760,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,31-028,1991,7.4,58.0,52.0,5.95,2.84,0.00,6.08,2.84,1.89,2.97,1.22,1.08,0.00,38.8,6.35,12.8,7.57,44.1,3.92,0.14,0.54,45.8,0.14,0.27,1.89,1.49,Matches
1761,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,27-210,1994,26.8,49.4,42.9,6.49,3.36,0.07,7.61,3.25,1.23,2.24,0.93,0.97,0.00,32.6,4.96,11.9,4.66,41.8,1.57,0.11,0.22,39.6,0.15,0.93,0.82,0.86,Matches
1762,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,29-224,1992,16.2,28.6,27.3,1.23,0.00,0.12,6.73,0.31,0.62,0.12,0.06,0.00,0.00,18.8,4.94,4.88,17.9,6.30,1.54,0.62,1.05,20.7,0.25,0.86,0.86,1.05,Matches
1763,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19-292,2002,0.6,50.0,50.0,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,36.7,5.00,8.33,40.0,6.67,1.67,0.00,0.00,40.0,0.00,0.00,0.00,5.00,Matches
1764,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,36-121,1986,8.0,75.0,69.0,6.00,1.63,0.25,8.63,2.38,2.13,1.38,0.00,1.13,0.00,52.4,10.9,11.8,6.50,61.5,2.63,3.00,0.25,61.4,0.25,1.00,2.38,1.88,Matches
1765,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,26-149,1995,26.3,25.6,24.9,0.72,0.00,0.00,9.35,0.72,0.46,0.00,0.00,0.00,0.00,13.2,6.05,6.39,1.56,16.2,2.40,0.38,0.76,17.3,0.23,0.42,0.87,0.87,Matches
1766,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,27-224,1994,9.2,37.8,37.1,0.76,0.43,0.00,7.39,1.41,0.22,0.00,0.00,0.00,0.00,27.0,4.67,6.20,5.76,26.1,3.70,0.33,0.11,31.1,0.11,0.87,0.65,0.87,Matches
1767,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,27-109,1995,1.1,37.3,37.3,0.00,0.00,0.91,8.18,0.00,0.00,0.00,0.00,0.00,0.00,32.7,2.73,1.82,7.27,27.3,0.00,0.00,0.91,31.8,0.91,0.00,0.91,0.91,Matches
1768,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,29-053,1993,30.4,45.1,43.0,2.04,1.45,0.07,4.70,0.99,0.10,0.00,0.00,0.00,0.00,31.0,3.85,10.2,33.0,7.20,2.83,0.53,0.07,36.4,0.10,1.15,0.86,0.46,Matches
1769,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22-357,1999,8.8,65.3,57.2,8.18,0.80,0.11,6.70,1.25,3.07,0.00,0.00,0.00,0.00,46.8,8.75,9.77,7.16,49.3,1.48,7.27,0.00,55.2,0.00,1.02,1.70,1.25,Matches
1770,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24-321,1997,18.6,17.1,15.1,1.99,0.05,0.00,4.73,0.11,0.48,0.00,0.00,0.00,0.00,9.19,3.82,4.09,1.94,10.1,1.94,0.05,0.54,11.5,0.00,0.38,0.59,0.54,Matches
1771,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32-337,1989,19.5,47.5,37.5,10.0,0.41,0.00,6.36,1.49,1.90,0.00,0.00,0.00,0.00,23.5,13.6,10.4,1.64,33.2,2.10,9.59,0.10,36.5,0.10,1.59,2.15,1.33,Matches
1772,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,26-200,1995,8.6,44.7,42.8,1.86,0.47,0.23,12.1,1.40,0.93,1.05,0.58,0.35,0.00,34.3,5.35,5.00,34.2,7.91,0.93,0.35,0.35,37.0,0.23,0.35,1.16,1.40,Matches
1773,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,22-106,2000,8.5,59.2,47.1,12.1,1.18,0.00,5.65,0.82,3.18,0.00,0.00,0.00,0.00,33.4,12.0,13.8,43.8,1.53,1.76,10.9,0.12,45.4,0.35,0.94,2.59,1.53,Matches
1774,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,18-275,2003,0.9,51.1,42.2,8.89,3.33,0.00,10.0,6.67,1.11,5.56,1.11,4.44,0.00,32.2,5.56,13.3,4.44,45.6,0.00,0.00,0.00,46.7,0.00,0.00,1.11,0.00,Matches
1775,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,22-246,1999,31.3,54.7,43.1,11.6,0.93,0.03,6.52,0.48,1.69,0.13,0.06,0.06,0.00,29.1,10.6,15.0,37.0,4.31,2.30,10.6,0.03,39.9,0.26,1.41,2.24,1.98,Matches
1776,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31-348,1990,27.7,30.1,28.3,1.88,1.88,0.00,4.22,1.19,0.00,0.00,0.00,0.00,0.00,18.4,2.31,9.39,12.7,12.2,3.18,0.00,0.11,23.5,0.11,0.87,0.32,0.18,Matches
1777,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,25-048,1997,15.6,48.8,39.7,9.17,1.15,0.13,9.36,1.47,3.33,1.22,0.77,0.45,0.00,24.8,12.2,11.8,31.0,7.24,2.18,6.79,0.26,33.8,0.26,1.03,2.50,1.99,Matches
1778,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,33-104,1989,27.7,42.3,41.0,1.30,0.54,0.18,7.08,1.19,1.23,0.25,0.18,0.07,0.00,32.4,5.20,4.73,8.59,31.3,1.30,0.47,0.29,35.0,0.11,0.40,1.81,1.30,Matches
1779,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,23-028,1999,18.9,42.6,41.1,1.53,0.53,0.00,6.77,0.53,1.48,0.42,0.21,0.16,0.00,31.9,5.19,5.56,9.63,30.0,1.48,0.37,0.16,31.2,0.11,0.63,1.69,1.90,Matches
1780,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,34-021,1988,27.0,15.6,14.4,1.11,0.00,0.00,4.67,0.37,0.44,0.00,0.00,0.00,0.00,8.56,3.56,3.44,1.22,10.2,1.19,0.04,0.63,10.1,0.00,0.41,1.04,0.78,Matches
1781,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,33-043,1989,4.4,34.8,34.1,0.68,0.45,0.00,4.32,0.23,0.00,0.00,0.00,0.00,0.00,23.6,3.64,7.50,10.9,19.8,2.50,0.00,0.00,28.4,0.23,1.14,0.45,0.45,Matches
1782,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,36-238,1985,20.7,76.3,71.4,4.93,2.95,0.10,10.1,4.01,1.30,1.21,0.29,0.24,0.19,58.4,8.07,9.90,7.68,66.0,0.97,0.43,0.82,67.3,0.39,0.63,2.03,1.64,Matches
1783,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22-345,1999,28.0,19.4,18.1,1.21,0.00,0.14,6.14,0.39,0.46,0.00,0.00,0.00,0.00,13.3,3.79,2.29,12.5,4.21,0.43,0.04,0.57,14.4,0.04,0.50,1.29,0.68,Matches
1784,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28-306,1993,3.9,45.6,44.9,0.77,0.26,0.00,7.18,0.77,1.28,0.00,0.00,0.00,0.00,30.8,7.44,7.44,4.10,36.9,2.31,0.26,0.77,36.4,0.00,1.03,1.79,1.54,Matches
1785,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,20-136,2001,1.4,30.0,30.0,0.00,0.00,0.00,7.86,0.71,1.43,0.00,0.00,0.00,0.00,22.9,5.00,2.14,13.6,13.6,0.71,0.00,1.43,27.9,0.00,0.71,1.43,0.00,Matches
