Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
57,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,31-004,1991,10.1,53.9,50.3,3.56,3.17,0.10,9.31,3.07,0.69,0.30,0.00,0.20,0.00,37.4,5.25,11.2,7.43,41.5,2.48,0.10,0.59,45.5,0.00,0.69,0.99,0.69,Matches
58,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,25-130,1996,23.7,33.1,30.9,2.24,1.86,0.08,4.51,3.12,0.04,0.00,0.00,0.00,0.00,14.1,2.83,16.2,25.4,2.32,3.54,0.13,0.04,20.7,0.08,1.48,0.84,0.51,Matches
59,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,27-084,1995,10.7,27.9,26.8,1.12,0.28,0.00,5.33,1.40,6.07,0.00,0.00,0.00,0.00,14.0,5.61,8.32,1.40,22.7,2.15,0.84,0.09,16.2,0.09,1.31,0.75,1.96,Matches
60,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,19-188,2002,12.0,32.7,24.4,8.25,2.42,0.00,2.83,0.50,0.00,0.00,0.00,0.00,0.00,17.8,0.67,14.3,1.33,26.8,0.00,0.00,4.42,23.8,0.00,0.92,0.17,0.00,Matches
61,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,24-120,1998,24.1,33.2,31.7,1.58,0.95,0.17,7.68,1.45,0.91,0.46,0.21,0.17,0.04,24.5,3.36,5.39,28.5,3.11,1.16,0.08,0.00,26.5,0.08,0.62,1.20,0.91,Matches
62,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-210,1998,28.7,84.5,66.9,17.6,2.89,0.63,7.60,6.20,3.80,4.29,0.91,2.96,0.03,43.9,14.7,25.9,9.06,62.4,1.95,10.4,0.21,62.9,0.17,1.15,3.31,2.37,Matches
63,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,22-038,2000,0.2,70.0,40.0,30.0,0.00,0.00,20.0,0.00,5.00,0.00,0.00,0.00,0.00,20.0,10.0,40.0,0.00,30.0,5.00,30.0,0.00,50.0,0.00,0.00,0.00,5.00,Matches
64,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,18-106,2004,18.5,15.2,14.8,0.43,0.05,0.00,4.00,0.32,1.35,0.00,0.00,0.00,0.00,11.6,2.32,1.35,10.5,3.51,0.22,0.11,0.38,11.1,0.05,0.49,0.81,0.65,Matches
65,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-215,1992,32.0,38.5,31.8,6.72,1.84,0.06,2.66,0.94,0.00,0.00,0.00,0.00,0.00,27.7,1.84,9.00,2.81,29.2,0.09,0.00,5.47,33.4,0.00,0.50,0.53,0.00,Matches
66,Allan\cc700722,br BRA,MF,Everton,eng Premier League,31-117,1991,24.1,39.6,37.1,2.57,0.87,0.00,6.35,0.66,0.25,0.00,0.00,0.00,0.00,27.3,4.61,7.68,3.61,33.7,1.41,0.41,0.12,31.1,0.21,0.66,1.78,1.16,Matches
67,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,27-067,1995,14.7,32.4,31.2,1.16,0.27,0.07,6.87,1.16,1.84,0.61,0.34,0.07,0.00,24.6,3.74,4.08,5.31,24.6,1.70,0.27,0.14,24.7,0.27,0.68,1.02,1.22,Matches
68,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,26-024,1996,7.3,29.3,27.7,1.64,0.82,0.00,5.75,0.27,0.41,0.00,0.00,0.00,0.00,20.4,4.52,4.38,1.37,24.7,1.64,0.41,0.41,22.9,0.14,0.27,1.51,0.96,Matches
69,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,26-024,1996,2.5,48.4,45.2,3.20,0.80,0.40,11.6,0.40,1.20,0.40,0.00,0.00,0.00,35.2,7.60,5.60,1.60,41.6,0.80,1.60,0.40,36.4,1.20,1.20,3.60,1.20,Matches
70,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,28-084,1994,16.4,26.2,25.6,0.55,0.12,0.06,4.51,0.30,1.34,0.06,0.06,0.00,0.00,20.5,2.44,3.23,23.5,1.04,0.85,0.30,0.18,20.5,0.12,0.43,0.67,1.10,Matches
71,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,31-128,1990,21.6,60.3,48.2,12.1,1.06,0.05,9.40,1.90,2.59,2.41,1.39,0.83,0.00,36.3,12.3,11.8,44.0,4.44,1.39,8.66,0.14,47.2,0.14,1.02,2.18,1.81,Matches
72,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-269,1998,13.4,47.7,42.1,5.60,1.27,0.00,6.04,1.12,0.97,0.00,0.00,0.00,0.00,22.2,6.12,19.4,9.03,28.0,4.70,4.33,0.07,31.9,0.22,1.49,1.34,0.97,Matches
73,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-318,1985,0.1,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,10.0,0.00,0.00,30.0,0.00,0.00,0.00,10.0,0.00,0.00,20.0,0.00,Matches
74,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,27-101,1995,18.7,48.1,45.8,2.35,2.30,0.00,5.13,2.14,0.05,0.00,0.00,0.00,0.00,34.1,4.39,9.68,3.90,39.1,2.94,0.05,0.21,40.6,0.11,1.02,0.70,0.70,Matches
75,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38-364,1983,8.3,89.4,76.6,12.8,3.01,0.48,9.04,4.70,3.25,2.65,0.24,1.33,0.60,61.1,11.0,17.3,10.1,70.2,1.08,7.11,0.48,75.2,0.36,1.08,2.41,0.72,Matches
76,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-239,1998,4.5,52.0,51.3,0.67,0.44,0.00,7.33,0.89,0.44,0.00,0.00,0.00,0.00,39.6,5.33,7.11,3.33,44.2,2.67,0.22,0.00,46.0,0.00,0.44,1.33,0.67,Matches
77,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,29-029,1993,9.0,48.8,47.8,1.00,1.00,0.00,5.11,1.78,0.00,0.00,0.00,0.00,0.00,39.9,2.78,6.11,3.22,42.7,2.22,0.00,0.11,42.8,0.00,0.44,1.00,0.56,Matches
78,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-166,2001,0.9,44.4,35.6,8.89,0.00,0.00,6.67,1.11,1.11,0.00,0.00,0.00,0.00,23.3,12.2,8.89,26.7,2.22,3.33,8.89,1.11,30.0,0.00,1.11,1.11,2.22,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,27-135,1994,20.1,59.6,58.6,1.04,0.80,0.00,5.72,0.75,0.00,0.00,0.00,0.00,0.00,50.9,3.33,5.37,5.27,50.8,2.44,0.20,0.15,54.4,0.10,0.40,0.90,0.80,Matches
80,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-293,1996,9.8,21.5,20.8,0.71,0.10,0.00,4.90,0.20,0.71,0.10,0.00,0.00,0.00,16.1,3.16,2.24,4.18,15.2,1.02,0.41,0.41,16.9,0.10,0.10,1.33,0.92,Matches
81,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,28-057,1994,4.0,66.3,56.8,9.50,1.00,0.00,8.50,1.50,1.00,0.00,0.00,0.00,0.00,46.0,11.5,8.75,42.5,12.0,1.75,8.50,0.00,56.5,0.25,1.50,1.25,1.50,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,28-057,1994,1.4,62.9,50.7,12.1,1.43,0.71,5.71,2.14,1.43,0.00,0.00,0.00,0.00,42.9,13.6,6.43,37.9,12.1,0.00,10.7,0.00,54.3,0.00,1.43,4.29,1.43,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,24-086,1998,26.4,39.5,30.2,9.36,0.80,0.04,6.29,0.42,0.61,0.00,0.00,0.00,0.00,22.3,10.9,6.33,3.14,25.6,1.44,8.56,0.08,31.2,0.15,0.91,1.52,1.33,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,25-190,1996,5.0,38.4,34.0,4.40,2.20,0.00,6.20,0.80,0.80,1.20,0.40,0.40,0.00,25.8,3.80,8.80,3.40,32.6,1.60,0.20,0.20,26.6,0.20,1.20,1.80,1.00,Matches
85,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-190,1996,4.1,54.4,52.2,2.20,0.24,0.00,11.0,3.41,0.73,1.22,0.24,0.98,0.00,43.4,4.63,6.34,4.63,48.8,0.49,0.49,0.00,44.9,0.24,0.73,1.22,0.49,Matches
86,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,21-233,2000,22.4,45.3,41.1,4.24,1.47,0.09,7.10,1.12,0.76,0.00,0.00,0.00,0.00,28.6,5.76,10.9,6.43,32.1,2.01,2.72,0.31,34.1,0.22,0.94,1.25,1.07,Matches
87,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-257,1996,8.5,62.5,60.0,2.47,2.47,0.00,8.94,3.06,0.24,0.00,0.00,0.00,0.00,47.6,5.29,9.53,2.59,55.9,3.06,0.00,0.35,55.8,0.00,0.00,2.00,1.41,Matches
88,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-339,1996,28.4,67.7,65.2,2.50,2.22,0.07,5.77,2.99,0.28,0.04,0.00,0.00,0.04,45.0,4.93,17.8,5.56,56.8,3.27,0.14,0.25,56.2,0.14,1.69,1.51,0.42,Matches
