Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
40,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,27-076,1995,9.9,1.52,0.51,0.61,0.81,0.10,0.40,0.71,57.1,0.30,6.87,2.32,33.8,2.53,3.64,0.71,1.21,0.51,0.00,0.71,1.82,3.33,3.03,0.00,Matches
41,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,18-019,2004,1.4,1.43,0.00,0.00,0.71,0.71,0.00,0.00,,0.00,5.00,0.71,14.3,0.71,0.71,3.57,0.71,0.00,0.00,0.71,0.00,1.43,0.00,0.00,Matches
42,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,20-069,2002,0.6,3.33,1.67,1.67,1.67,0.00,0.00,1.67,0.0,1.67,35.0,11.7,33.3,6.67,16.7,11.7,3.33,0.00,0.00,3.33,0.00,3.33,0.00,0.00,Matches
43,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-136,1997,5.7,2.98,2.11,0.88,1.58,0.53,1.58,2.28,69.2,0.70,19.8,6.67,33.6,5.96,11.8,2.11,1.23,0.00,0.00,1.23,2.11,5.09,1.58,0.00,Matches
44,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-206,1992,3.4,4.12,2.35,1.47,2.35,0.29,0.88,2.94,30.0,2.06,29.7,8.24,27.7,6.76,15.9,7.06,1.18,0.59,0.00,0.59,0.88,5.00,1.18,0.00,Matches
45,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,27-016,1995,16.0,2.38,1.25,1.13,0.75,0.50,1.13,1.81,62.1,0.69,15.0,4.50,30.0,5.81,6.00,3.19,3.13,0.06,0.00,3.06,2.00,4.38,1.81,0.06,Matches
46,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-315,1992,29.4,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,7.59,2.82,37.2,3.40,3.40,0.78,1.26,0.58,0.03,0.68,1.39,2.24,2.28,0.07,Matches
47,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-280,1998,1.8,4.44,3.33,2.22,2.22,0.00,1.67,3.33,50.0,1.67,28.9,6.67,23.1,11.7,13.3,3.89,3.33,0.00,0.00,3.33,3.33,7.78,1.11,0.00,Matches
48,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,23-106,1999,14.8,1.89,1.01,0.88,0.68,0.34,0.61,1.35,45.0,0.74,15.6,5.14,32.9,7.70,6.15,1.76,1.96,0.41,0.00,1.55,1.82,3.72,3.04,0.00,Matches
49,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-209,1992,6.3,0.79,0.63,0.00,0.63,0.16,0.32,0.48,66.7,0.16,14.8,4.29,29.0,0.95,5.40,8.41,0.79,0.00,0.00,0.79,0.32,1.11,0.63,0.00,Matches
50,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,33-045,1989,26.4,1.48,0.87,0.45,0.80,0.23,0.68,1.59,42.9,0.91,10.5,3.41,32.5,3.60,4.85,2.05,1.97,0.23,0.00,1.74,1.63,3.11,1.36,0.08,Matches
51,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,30-104,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,Matches
52,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-219,1992,24.5,1.18,0.73,0.37,0.49,0.33,0.41,1.80,22.7,1.39,15.9,4.16,26.2,4.57,7.14,4.20,1.10,0.16,0.00,0.94,0.82,2.00,0.24,0.00,Matches
53,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-243,1985,23.5,1.15,0.64,0.72,0.43,0.00,0.38,0.60,64.3,0.21,6.38,2.81,44.0,3.23,2.89,0.26,1.15,0.47,0.04,0.68,1.32,2.47,4.81,0.00,Matches
54,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,32-168,1989,12.1,2.64,1.24,1.32,0.74,0.58,0.74,3.22,23.1,2.48,22.6,4.88,21.5,7.44,11.2,4.05,2.23,0.41,0.08,1.82,2.07,4.71,0.74,0.00,Matches
55,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-248,1993,6.9,0.58,0.43,0.14,0.29,0.14,0.29,0.58,50.0,0.29,13.0,3.77,28.9,0.58,5.65,6.81,0.87,0.00,0.00,0.87,0.43,1.01,0.00,0.00,Matches
56,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,31-024,1991,15.2,3.42,2.30,0.99,1.84,0.59,0.66,2.30,28.6,1.64,18.4,6.71,36.4,5.13,9.34,3.95,1.45,0.13,0.00,1.32,1.97,5.39,0.99,0.13,Matches
57,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,31-004,1991,10.1,3.27,2.28,1.19,2.08,0.00,0.79,2.08,38.1,1.29,23.0,8.02,34.9,8.71,11.9,2.38,1.09,0.10,0.00,0.99,1.09,4.36,1.19,0.00,Matches
58,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,25-130,1996,23.7,2.49,1.69,1.65,0.80,0.04,1.14,1.98,57.4,0.84,9.28,3.50,37.7,5.36,3.50,0.42,1.39,0.72,0.00,0.68,2.49,4.98,7.30,0.00,Matches
59,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,27-084,1995,10.7,2.90,1.78,2.06,0.65,0.19,1.31,3.27,40.0,1.96,29.4,7.29,24.8,11.3,11.8,6.36,1.31,0.00,0.00,1.31,1.40,4.30,1.12,0.00,Matches
60,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,19-188,2002,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.08,0.08,100.0,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,Matches
61,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,24-120,1998,24.1,1.24,0.83,0.58,0.54,0.12,0.62,1.83,34.1,1.20,20.4,5.02,24.6,4.40,11.3,4.65,1.04,0.08,0.00,0.95,0.75,1.99,0.37,0.00,Matches
