Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1203,Iglesias\974322dc,es ESP,DF,Getafe,es La Liga,23-306,1998,6.0,59.5,3.00,19.2,29.7,15.2,0.17,46.0,0.67,1.67,40.0,0.67,0.17,26.3,146.8,72.2,3.33,1.50,0.00,0.83,0.50,27.8,23.5,84.4,1.00,Matches
1204,Borja Iglesias\75645f0e,es ESP,FW,Betis,es La Liga,29-108,1993,15.2,29.5,0.33,1.45,13.1,16.0,5.66,27.4,0.53,1.64,32.0,0.86,0.00,18.2,74.6,31.4,1.91,0.46,0.86,2.30,1.64,41.1,22.4,54.4,6.51,Matches
1205,Jonathan Iglesias\639ca1cf,uy URU,MF,Clermont Foot,fr Ligue 1,33-139,1988,6.4,64.7,3.13,21.9,37.5,8.75,0.47,63.4,0.31,0.63,50.0,0.31,0.00,44.4,191.6,100.9,2.66,0.63,0.16,0.63,1.09,52.8,47.0,89.1,2.19,Matches
1206,Juan Ignacio Ramírez\ad513a6b,uy URU,FW,Saint-Étienne,fr Ligue 1,25-093,1997,1.4,14.3,0.00,0.71,6.43,7.14,3.57,12.9,0.71,0.71,100.0,0.71,0.71,7.14,12.1,5.00,0.00,0.00,0.00,0.71,2.14,25.7,6.43,25.0,4.29,Matches
1207,Igor\a4e85758,br BRA,DF,Fiorentina,it Serie A,24-087,1998,21.9,76.1,7.31,41.6,38.8,1.60,0.55,73.7,0.32,0.46,70.0,0.37,0.00,52.4,281.6,164.9,2.88,0.46,0.00,0.18,0.27,54.4,54.0,99.2,0.00,Matches
1208,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,eng Premier League,25-214,1996,12.4,38.6,0.81,3.23,18.7,18.7,4.68,37.4,1.05,2.42,43.3,1.13,0.16,28.1,124.7,66.8,3.71,1.05,0.89,3.23,2.10,51.3,28.5,55.5,7.50,Matches
1209,Danylo Ihnatenko\65bbfba3,ua UKR,MF,Bordeaux,fr Ligue 1,25-053,1997,5.7,57.7,2.98,11.1,35.6,14.0,0.88,56.1,0.88,1.05,83.3,0.88,0.00,33.0,178.1,94.0,4.91,1.58,0.18,1.23,1.05,38.4,36.5,95.0,1.93,Matches
1210,Jonathan Ikone\42eaa028,fr FRA,FW,Fiorentina,it Serie A,24-003,1998,5.3,49.2,0.94,3.96,25.1,24.5,4.34,48.9,2.08,3.40,61.1,2.26,0.00,40.6,225.3,120.6,8.11,1.51,0.57,3.21,1.89,46.0,37.2,80.7,6.04,Matches
1211,Jonathan Ikone\42eaa028,fr FRA,MFFW,Lille,fr Ligue 1,24-003,1998,11.8,48.1,1.53,5.93,26.7,20.8,3.98,46.7,2.29,4.24,54.0,2.37,0.08,36.9,234.5,139.3,5.34,1.78,1.27,2.20,2.20,46.0,36.0,78.3,5.00,Matches
1212,Ivan Ilić\bb376bed,rs SRB,MF,Hellas Verona,it Serie A,21-049,2001,26.1,60.5,2.80,13.8,37.1,14.1,1.07,57.4,0.84,1.38,61.1,0.96,0.04,37.8,208.4,96.8,4.48,1.65,0.15,1.49,1.00,42.6,38.7,91.0,2.38,Matches
1213,Josip Iličić\68252d6d,si SVN,FWMF,Atalanta,it Serie A,34-096,1988,9.2,69.0,0.43,4.89,28.6,40.2,6.85,65.0,1.85,3.37,54.8,1.85,0.11,54.5,294.3,144.2,9.35,2.17,2.39,3.37,1.74,66.6,55.2,82.9,10.2,Matches
1214,Asier Illarramendi\5ce0b5ba,es ESP,MF,Real Sociedad,es La Liga,32-058,1990,2.5,87.2,7.60,28.4,54.4,6.00,0.00,84.0,0.80,1.60,50.0,0.80,0.40,57.6,209.6,89.6,2.40,0.40,0.00,0.00,0.80,60.8,58.4,96.1,0.40,Matches
1215,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,de Bundesliga,32-352,1989,1.9,51.6,10.5,35.8,15.3,2.11,0.00,49.5,0.00,0.00,,0.00,0.00,14.2,52.6,28.4,0.53,0.53,0.00,0.53,0.00,16.8,15.3,90.6,0.00,Matches
1216,Ciro Immobile\4431aed2,it ITA,FW,Lazio,it Serie A,32-074,1990,29.1,41.7,0.79,3.85,18.0,22.1,7.25,40.3,0.48,1.44,33.3,0.55,0.03,28.0,130.0,66.0,3.47,1.20,1.07,2.27,1.65,52.7,33.9,64.3,9.38,Matches
1217,Burak İnce\683dec01,tr TUR,FW,Arminia,de Bundesliga,18-105,2004,0.9,21.1,1.11,1.11,6.67,14.4,2.22,17.8,0.00,0.00,,0.00,0.00,14.4,68.9,40.0,3.33,1.11,0.00,3.33,2.22,28.9,15.6,53.8,6.67,Matches
1218,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,eng Premier League,29-286,1992,18.3,29.9,0.98,3.22,12.6,15.3,5.96,28.7,0.60,1.80,33.3,0.71,0.16,17.2,76.5,36.7,1.80,0.49,0.33,2.13,0.77,36.3,18.6,51.1,5.30,Matches
1219,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,de Bundesliga,26-121,1996,1.4,33.6,1.43,7.86,20.0,7.14,2.14,33.6,0.71,1.43,50.0,0.71,0.00,21.4,72.9,10.0,0.71,0.00,0.00,4.29,1.43,39.3,26.4,67.3,2.14,Matches
1220,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,de Bundesliga,26-121,1996,6.6,45.9,0.91,5.30,22.1,20.2,5.15,43.6,0.76,2.27,33.3,0.76,0.15,28.6,103.2,43.2,2.27,0.76,0.45,4.09,2.42,52.9,31.7,59.9,8.48,Matches
1221,Bonke Innocent\546bb36e,ng NGA,MF,Lorient,fr Ligue 1,26-105,1996,9.5,50.3,2.95,15.5,33.1,3.37,0.63,49.1,0.42,0.63,66.7,0.42,0.00,30.8,99.3,33.1,1.05,0.11,0.00,0.53,0.95,29.6,28.2,95.4,0.53,Matches
1222,Lorenzo Insigne\2f557579,it ITA,FW,Napoli,it Serie A,30-335,1991,23.4,70.3,0.73,8.08,31.7,36.2,4.87,64.9,1.62,3.50,46.3,1.88,0.13,51.2,275.3,170.3,9.02,2.65,1.62,1.54,1.32,61.7,54.2,87.9,6.58,Matches
1223,Nikita Iosifov\4c2fa917,ru RUS,MF,Villarreal,es La Liga,21-024,2001,0.0,4,0,0,0,4,1,4,1,1,100.0,1,0,5,17,10,1,0,0,0,1,5,4,80.0,2,Matches
1224,Tim Iroegbunam\84c5ceea,eng ENG,MF,Aston Villa,eng Premier League,18-309,2003,1.0,33.0,1.00,10.0,23.0,3.00,1.00,33.0,0.00,0.00,,0.00,0.00,19.0,122.0,78.0,3.00,1.00,0.00,0.00,0.00,14.0,14.0,100.0,0.00,Matches
1225,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,es La Liga,22-226,1999,21.2,30.0,0.61,2.26,12.8,17.6,5.42,28.3,1.70,3.87,43.9,1.98,0.14,22.0,122.0,74.2,4.10,1.46,1.08,2.17,1.46,37.5,22.6,60.3,7.17,Matches
1226,Isco\a0b4bb3e,es ESP,MFFW,Real Madrid,es La Liga,30-014,1992,2.7,110.7,1.48,18.1,59.6,43.3,6.67,105.6,3.70,4.81,76.9,3.70,0.37,90.7,508.5,291.9,15.6,3.70,1.48,2.59,3.33,97.8,90.7,92.8,7.04,Matches
1227,Wilson Isidor\a671316d,fr FRA,FWMF,Monaco,fr Ligue 1,21-251,2000,0.6,38.3,0.00,1.67,20.0,16.7,5.00,38.3,0.00,0.00,,0.00,0.00,10.0,33.3,20.0,1.67,0.00,0.00,1.67,0.00,66.7,31.7,47.5,10.0,Matches
1228,Ardian Ismajli\6b635f5c,al ALB,DF,Empoli,it Serie A,25-217,1996,13.9,61.0,11.5,35.3,28.6,1.87,0.50,59.0,0.22,0.22,100.0,0.22,0.00,35.1,250.1,143.0,2.59,0.29,0.00,0.14,0.22,38.0,37.1,97.5,0.00,Matches
1229,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,de Bundesliga,22-358,1999,24.1,84.2,10.5,43.8,41.5,5.31,0.54,80.9,0.17,0.29,57.1,0.17,0.00,55.4,285.4,142.7,2.86,0.75,0.00,0.17,0.17,58.3,57.3,98.2,0.37,Matches
1230,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,de Bundesliga,25-129,1996,7.1,34.1,0.99,2.39,15.9,17.0,5.07,33.2,0.42,0.99,42.9,0.56,0.00,16.2,57.2,27.7,1.69,0.42,0.42,3.94,2.39,45.6,24.5,53.7,7.04,Matches
1231,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,de Bundesliga,23-120,1999,14.2,60.9,4.86,23.7,26.0,14.2,0.42,50.9,0.77,1.06,73.3,0.77,0.00,29.8,147.6,94.6,3.38,1.48,0.21,0.49,0.77,35.0,32.3,92.2,1.06,Matches
1232,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,eng Premier League,26-002,1996,17.6,43.3,1.48,8.30,18.3,20.1,3.47,42.3,1.42,2.61,54.3,1.65,0.34,31.4,178.0,99.9,4.55,1.48,0.91,1.42,1.65,39.0,28.9,73.9,4.26,Matches
1233,Armando Izzo\89976232,it ITA,DF,Torino,it Serie A,30-064,1992,4.4,68.4,7.50,29.5,33.0,10.2,1.59,64.8,0.00,0.00,,0.00,0.00,38.0,210.5,108.6,4.09,1.59,0.00,0.23,0.23,40.7,39.8,97.8,0.68,Matches
1234,Nicolas Jackson\9c36ed83,sn SEN,FW,Villarreal,es La Liga,20-319,2001,0.7,42.9,0.00,0.00,18.6,27.1,11.4,41.4,1.43,2.86,50.0,2.86,0.00,31.4,191.4,90.0,7.14,2.86,0.00,1.43,2.86,64.3,34.3,53.3,15.7,Matches
1235,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,de Bundesliga,29-268,1992,15.9,55.3,1.38,8.43,29.2,20.8,2.96,54.5,0.63,1.19,52.6,0.63,0.00,32.3,138.0,66.8,3.02,1.57,0.31,2.70,2.08,47.4,35.9,75.7,6.67,Matches
1236,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,de Bundesliga,23-287,1998,20.7,63.1,6.62,35.5,29.7,2.27,0.34,61.7,0.58,0.87,66.7,0.68,0.05,39.4,202.2,96.4,1.98,0.24,0.10,0.39,0.53,37.7,37.2,98.6,0.24,Matches
1237,Mato Jajalo\8c65eb5f,ba BIH,MF,Udinese,it Serie A,33-345,1988,7.0,56.0,2.86,15.7,30.6,12.1,0.86,54.0,0.57,1.00,57.1,0.71,0.00,32.9,151.4,74.3,2.71,0.29,0.14,1.14,0.86,34.4,32.1,93.4,1.43,Matches
1238,Kristijan Jakić\a8ee54ad,hr CRO,MF,Eint Frankfurt,de Bundesliga,24-356,1997,20.4,52.1,2.65,12.0,32.9,10.3,1.62,51.3,0.74,1.52,48.4,0.88,0.05,29.4,150.1,78.8,3.04,1.42,0.05,0.93,1.52,33.9,29.7,87.7,2.01,Matches
1239,Ismail Jakobs\a0415710,de GER,DFFW,Monaco,fr Ligue 1,22-261,1999,12.4,80.4,2.90,18.6,38.1,29.0,1.37,69.0,0.40,0.89,45.5,0.48,0.16,44.9,237.3,132.3,7.02,2.10,0.32,0.89,0.81,55.7,48.7,87.4,3.31,Matches
1240,Marin Jakoliš\96f4ebc0,hr CRO,FW,Angers,fr Ligue 1,25-130,1996,2.2,36.4,0.00,4.09,20.0,14.1,3.64,34.1,0.91,1.82,50.0,1.36,0.45,25.5,114.1,55.5,3.18,0.00,0.45,1.36,0.00,43.2,29.1,67.4,5.45,Matches
1241,Abdel Jalil Medioub\4937a9f7,dz ALG,DF,Bordeaux,fr Ligue 1,24-250,1997,6.9,52.2,7.97,36.1,17.5,0.72,0.43,51.4,0.58,0.58,100.0,0.58,0.00,30.3,111.6,69.3,1.30,0.14,0.00,0.58,0.14,31.9,31.7,99.5,0.00,Matches
1242,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,eng Premier League,24-176,1997,1.4,37.9,0.71,1.43,15.7,23.6,6.43,37.9,0.00,2.14,0.0,0.71,0.00,23.6,165.7,112.9,7.14,2.14,0.71,3.57,2.14,35.7,24.3,68.0,10.7,Matches
1243,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,eng Premier League,24-176,1997,25.0,29.7,0.76,3.32,11.0,17.6,4.96,28.5,0.72,1.76,40.9,0.80,0.00,20.2,132.9,83.0,4.68,0.96,1.28,1.76,1.40,37.2,19.9,53.4,6.56,Matches
1244,Reece James\1265a93a,eng ENG,DF,Chelsea,eng Premier League,22-148,1999,16.9,88.4,2.07,16.2,38.2,40.1,3.85,76.9,1.54,2.01,76.5,1.66,0.00,62.2,275.0,139.5,7.51,2.96,0.77,0.95,1.01,67.3,62.2,92.4,4.67,Matches
1245,Vitaly Janelt\8449d35e,de GER,MF,Brentford,eng Premier League,23-360,1998,24.0,47.3,2.83,13.8,23.8,11.8,2.00,45.0,0.54,0.75,72.2,0.58,0.04,25.7,124.1,59.5,2.29,0.58,0.17,1.08,0.46,34.4,27.5,80.1,2.08,Matches
1246,Jakub Jankto\1ea5f91c,cz CZE,DFMF,Getafe,es La Liga,26-106,1996,5.6,46.3,1.07,9.64,23.4,16.4,1.61,41.4,0.36,0.71,50.0,0.36,0.00,28.6,156.1,84.6,4.11,1.07,0.18,0.89,1.25,30.7,26.3,85.5,2.50,Matches
1247,Pontus Jansson\172e52d8,se SWE,DF,Brentford,eng Premier League,31-081,1991,33.9,49.5,11.7,31.9,17.8,1.74,1.33,48.0,0.09,0.12,75.0,0.12,0.00,23.6,120.2,54.2,0.88,0.00,0.03,0.21,0.09,28.2,26.7,94.7,0.12,Matches
1248,Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,de Bundesliga,32-028,1990,2.5,56.4,4.00,28.4,31.6,2.00,0.80,55.2,0.00,0.00,,0.00,0.00,37.6,142.8,48.4,0.00,0.40,0.00,0.00,0.00,38.8,38.4,99.0,0.40,Matches
1249,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,es La Liga,27-089,1995,16.7,58.6,1.08,6.17,26.6,30.4,3.29,51.6,2.46,4.73,51.9,2.69,0.24,44.4,218.7,129.9,8.50,2.57,0.90,3.29,3.41,49.3,41.4,84.1,5.51,Matches
1250,Paweł Jaroszyński\958a601f,pl POL,DF,Salernitana,it Serie A,27-215,1994,5.7,50.0,5.44,22.8,17.5,11.6,0.35,40.5,0.18,0.53,33.3,0.18,0.00,24.6,129.8,63.9,1.93,0.53,0.00,0.53,0.35,24.4,22.6,92.8,1.05,Matches
1251,Jason\9038c2a1,es ESP,MFFW,Alavés,es La Liga,27-303,1994,5.4,35.9,0.74,7.22,14.4,17.0,1.11,30.0,0.56,1.67,33.3,0.74,0.56,19.4,109.6,67.8,2.41,0.93,0.19,1.85,1.11,30.9,18.5,59.9,2.22,Matches
1252,Jason\9038c2a1,es ESP,MFDF,Valencia,es La Liga,27-303,1994,0.8,62.5,1.25,16.3,21.3,32.5,3.75,58.8,1.25,3.75,33.3,1.25,0.00,37.5,337.5,218.8,6.25,3.75,0.00,2.50,3.75,45.0,36.3,80.6,8.75,Matches
1253,Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,de Bundesliga,22-074,2000,2.5,54.4,1.60,14.4,24.0,21.6,2.80,42.0,2.00,4.40,45.5,2.00,0.00,31.6,176.0,74.4,4.00,1.20,2.40,2.00,2.40,38.0,28.8,75.8,5.60,Matches
1254,Luis Javier Suárez\eeba07f8,co COL,FW,Granada,es La Liga,24-154,1997,28.5,34.0,0.91,2.84,16.5,17.4,3.86,32.9,1.09,2.25,48.4,1.23,0.07,23.0,127.0,74.1,4.35,1.19,0.91,3.30,1.47,42.4,24.8,58.6,6.77,Matches
1255,Corentin Jean\7d9b37bf,fr FRA,FWDF,Lens,fr Ligue 1,26-294,1995,2.6,53.8,1.92,7.31,27.7,21.9,3.08,50.4,0.38,1.54,25.0,0.38,0.00,31.9,105.0,40.8,2.31,0.38,0.00,3.85,1.15,53.1,37.7,71.0,5.38,Matches
1256,Jemerson\7cab69b5,br BRA,DF,Metz,fr Ligue 1,29-254,1992,13.4,46.6,5.75,29.6,18.6,1.04,0.75,44.6,0.15,0.22,66.7,0.15,0.00,26.1,124.4,65.9,1.04,0.07,0.00,0.45,0.30,26.9,25.9,96.1,0.15,Matches
1257,Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,de Bundesliga,24-238,1997,4.6,34.8,1.09,5.43,13.5,17.6,3.48,33.0,0.43,0.65,66.7,0.43,0.00,18.3,120.7,72.2,3.70,1.30,0.22,1.52,0.65,36.3,19.1,52.7,4.13,Matches
1258,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,eng Premier League,26-124,1996,15.2,53.9,1.71,11.3,28.6,17.5,1.38,48.0,0.59,1.05,56.3,0.72,0.26,30.8,145.4,68.9,3.55,1.25,0.00,0.92,1.18,38.9,31.6,81.4,2.70,Matches
1259,Moritz Jenz\ee644761,de GER,DF,Lorient,fr Ligue 1,23-005,1999,14.3,54.3,7.48,28.5,26.8,2.52,0.91,52.8,0.14,0.14,100.0,0.14,0.00,30.8,180.5,97.8,2.94,0.49,0.00,0.35,0.21,35.5,34.7,97.8,0.21,Matches
1260,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,eng Premier League,25-032,1997,18.2,50.9,0.71,4.45,18.6,30.5,7.80,50.1,1.54,2.64,58.3,1.76,0.22,40.1,195.0,100.7,7.36,1.10,1.65,2.69,2.14,52.9,39.2,74.1,7.03,Matches
1261,Juan Jesus\79083382,br BRA,DF,Napoli,it Serie A,30-329,1991,13.2,65.2,8.03,31.4,35.7,1.59,0.68,62.0,0.08,0.15,50.0,0.08,0.00,41.6,231.2,92.4,2.35,0.38,0.08,0.15,0.00,44.3,43.4,97.9,0.00,Matches
1262,Álvaro Jiménez\5f5501ed,es ESP,MFFW,Cádiz,es La Liga,26-351,1995,2.6,43.5,0.38,6.15,15.4,25.0,3.08,41.5,2.31,5.00,46.2,2.31,0.00,28.8,193.8,123.5,7.69,1.15,2.31,2.31,1.15,37.3,26.9,72.2,3.46,Matches
1263,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,eng Premier League,31-000,1991,25.4,42.4,1.18,3.82,23.8,17.2,4.92,40.5,1.34,3.39,39.5,1.61,0.08,28.9,107.4,55.5,3.31,0.79,0.67,3.19,2.17,49.9,31.4,62.9,6.77,Matches
1264,Joaquín\4c5b14d2,es ESP,FWMF,Betis,es La Liga,40-288,1981,4.6,63.7,1.30,7.17,24.6,36.5,4.78,56.5,3.48,5.87,59.3,3.91,0.22,46.5,275.7,185.7,10.0,2.83,1.52,1.30,1.96,55.4,43.7,78.8,4.57,Matches
1265,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,eng Premier League,25-264,1996,26.3,50.0,2.97,11.3,25.3,17.6,3.16,49.5,1.22,2.40,50.8,1.29,0.15,32.3,162.6,90.7,3.76,1.37,0.38,2.74,2.59,39.8,31.1,78.1,3.76,Matches
1266,Jofre\030ef8d6,es ESP,DFMF,Espanyol,es La Liga,20-322,2001,0.2,50.0,0.00,0.00,15.0,45.0,15.0,50.0,0.00,0.00,,0.00,0.00,40.0,520.0,360.0,25.0,10.0,5.00,0.00,0.00,55.0,40.0,72.7,25.0,Matches
1267,Marco John\d9e196bf,de GER,DF,Hoffenheim,de Bundesliga,20-033,2002,0.5,40.0,0.00,8.00,22.0,12.0,2.00,34.0,0.00,0.00,,0.00,0.00,20.0,172.0,138.0,2.00,0.00,2.00,0.00,0.00,22.0,20.0,90.9,0.00,Matches
1268,Dennis Johnsen\66784dee,no NOR,FWMF,Venezia,it Serie A,24-077,1998,14.7,31.9,0.61,4.97,12.4,17.6,3.88,31.8,1.63,4.15,39.3,1.84,0.41,25.1,127.1,79.9,3.40,1.09,0.88,3.47,1.70,39.4,23.7,60.3,7.48,Matches
1269,Ben Johnson\9319781b,eng ENG,DF,West Ham,eng Premier League,22-101,2000,15.4,60.5,5.97,21.9,26.6,14.9,0.84,51.0,0.58,1.04,56.3,0.78,0.13,32.5,152.2,66.2,2.66,1.30,0.06,0.71,0.84,35.1,32.4,92.2,1.17,Matches
1270,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,eng Premier League,21-095,2001,7.8,71.8,1.15,9.36,42.8,25.3,1.67,70.5,1.79,3.08,58.3,1.79,0.13,57.2,308.1,144.4,8.33,2.56,0.51,1.79,2.31,63.7,57.8,90.7,4.62,Matches
1271,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,eng Premier League,30-073,1992,1.8,55.6,10.0,26.1,28.3,3.89,0.56,55.6,0.00,0.00,,0.00,0.00,35.6,157.8,78.3,2.78,0.56,0.00,0.56,0.00,35.0,35.0,100.0,0.00,Matches
1272,Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,es La Liga,24-358,1997,24.5,69.1,1.35,11.6,43.0,20.5,2.73,67.9,1.06,1.59,66.7,1.22,0.04,50.5,285.0,169.4,7.31,2.41,0.29,1.06,1.22,60.9,54.4,89.5,4.94,Matches
1273,Luuk de Jong\abb3bb95,nl NED,FW,Barcelona,es La Liga,31-251,1990,7.0,40.7,1.71,4.29,21.1,17.6,7.14,39.3,0.57,1.00,57.1,0.57,0.00,23.1,62.0,23.0,1.29,0.57,0.14,3.14,2.43,47.0,31.1,66.3,9.57,Matches
1274,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,es La Liga,27-303,1994,25.4,73.9,1.85,15.7,44.6,17.0,0.87,71.7,0.79,1.22,64.5,0.87,0.08,51.3,199.1,89.7,3.58,1.02,0.04,1.02,0.83,59.4,55.9,94.2,2.32,Matches
1275,Kaio Jorge\0cf465f2,br BRA,MFFW,Juventus,it Serie A,20-101,2002,1.3,47.7,1.54,6.15,20.0,23.8,7.69,47.7,0.77,1.54,50.0,0.77,0.00,32.3,107.7,24.6,2.31,0.77,0.77,3.85,2.31,65.4,37.7,57.6,13.1,Matches
1276,Jorginho\45db685d,it ITA,MF,Chelsea,eng Premier League,30-136,1991,23.3,80.5,2.58,19.0,48.7,17.6,0.64,78.8,0.52,0.64,80.0,0.56,0.04,55.4,218.9,109.3,4.33,1.16,0.04,0.47,0.94,62.1,59.7,96.2,1.55,Matches
1277,Josan\5b28b2f6,es ESP,DFMF,Elche,es La Liga,32-153,1989,11.2,50.8,1.79,13.7,22.1,19.0,2.05,44.7,1.88,3.30,56.8,1.88,0.27,33.1,211.3,120.6,6.07,1.34,0.63,1.25,1.43,34.6,29.3,84.8,3.84,Matches
1278,Willian José\d87e2cae,br BRA,FW,Betis,es La Liga,30-163,1991,16.2,40.1,1.17,3.95,21.3,16.7,3.09,37.6,0.49,1.11,44.4,0.56,0.06,26.5,116.5,46.7,2.35,0.68,0.56,1.36,1.73,44.5,29.8,66.9,5.74,Matches
1279,Joselu\6265208f,es ESP,FW,Alavés,es La Liga,32-039,1990,31.7,44.3,1.64,3.66,22.8,18.8,4.61,42.5,0.50,1.39,36.4,0.57,0.19,18.9,56.3,19.6,1.14,0.22,0.32,2.24,1.14,51.6,33.9,65.6,5.27,Matches
1280,Josema\ed3f5f4c,es ESP,DF,Elche,es La Liga,25-333,1996,2.0,41.0,6.50,20.0,16.5,5.50,0.00,31.5,0.00,0.00,,0.00,0.00,17.5,95.5,59.5,0.50,0.50,0.00,1.00,0.00,16.0,15.5,96.9,0.00,Matches
1281,Lenny Joseph\d1828392,fr FRA,FWMF,Metz,fr Ligue 1,21-205,2000,1.5,34.7,0.00,2.00,19.3,14.7,4.00,34.0,0.67,2.00,33.3,1.33,0.00,16.7,40.0,15.3,0.67,0.00,0.00,5.33,4.00,48.7,23.3,47.9,4.00,Matches
1282,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,eng Premier League,25-152,1996,23.3,43.3,0.64,3.99,18.7,23.7,6.95,43.0,1.29,2.88,44.8,1.59,0.34,30.7,150.7,94.9,5.32,1.55,0.94,2.32,1.89,52.9,33.2,62.8,8.45,Matches
1283,Stevan Jovetić\f36c432f,me MNE,FW,Hertha BSC,de Bundesliga,32-184,1989,11.3,46.0,0.97,5.66,23.7,20.3,4.51,44.1,0.97,2.57,37.9,1.42,0.35,28.8,148.9,91.4,4.42,2.04,0.53,1.24,2.30,51.8,36.0,69.6,6.64,Matches
1284,Luka Jović\4d8cd038,rs SRB,FW,Real Madrid,es La Liga,24-133,1997,3.3,30.6,0.91,2.73,16.4,13.3,6.06,30.3,2.12,3.03,70.0,2.12,0.00,19.7,91.8,42.1,1.82,0.61,0.30,3.33,1.82,39.1,23.3,59.7,5.76,Matches
1285,Miguel Juan Llambrich\d83f09ff,es ESP,DF,Espanyol,es La Liga,26-107,1996,0.8,75.0,5.00,33.8,31.3,15.0,0.00,65.0,2.50,3.75,66.7,2.50,0.00,43.8,193.8,86.3,6.25,5.00,0.00,1.25,0.00,47.5,43.8,92.1,2.50,Matches
1286,José Juan Macías\1f1c8a15,mx MEX,FWMF,Getafe,es La Liga,22-225,1999,2.2,34.5,0.45,2.27,16.8,17.3,5.45,33.6,1.36,3.18,42.9,1.36,0.45,25.0,85.9,28.2,2.27,0.45,0.45,2.73,2.73,45.9,26.4,57.4,9.09,Matches
1287,Juanmi\84399660,es ESP,FW,Betis,es La Liga,28-350,1993,20.7,33.8,1.06,4.88,14.5,16.3,4.44,32.9,1.26,1.98,63.4,1.30,0.19,22.9,110.6,51.6,2.85,0.77,0.48,1.98,1.59,35.3,22.1,62.6,5.07,Matches
1288,Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,de Bundesliga,27-235,1994,1.3,46.9,5.38,26.9,20.0,0.77,0.77,44.6,0.00,0.00,,0.00,0.00,24.6,138.5,83.1,3.08,0.00,0.00,0.77,0.77,30.8,30.0,97.5,0.00,Matches
1289,Flavio Junior Bianchi\3ef965c1,it ITA,FWMF,Genoa,it Serie A,22-101,2000,3.5,36.6,0.00,3.43,23.1,12.6,3.43,36.0,0.86,1.43,60.0,0.86,0.00,22.6,98.0,32.3,2.29,0.86,0.57,2.57,3.14,36.9,25.4,69.0,6.57,Matches
1290,Hamed Junior Traorè\570bb4b9,ci CIV,FWMF,Sassuolo,it Serie A,22-078,2000,18.6,57.1,0.97,9.57,28.4,24.2,4.62,54.5,2.47,4.78,51.7,2.96,0.38,46.6,286.2,167.8,8.39,2.58,1.72,2.15,2.20,48.0,41.5,86.4,6.08,Matches
1291,Lago Junior\360d70f8,ci CIV,FWMF,Mallorca,es La Liga,31-125,1990,2.0,43.0,1.00,7.00,14.0,25.0,5.50,42.5,2.50,4.00,62.5,3.00,0.50,32.0,182.0,129.5,8.00,1.00,2.00,3.50,4.00,47.5,34.5,72.6,5.00,Matches
1292,Vinicius Júnior\7111d552,br BRA,FWMF,Real Madrid,es La Liga,21-297,2000,27.6,60.0,0.51,5.76,20.3,40.7,8.84,59.4,3.44,7.46,46.1,3.95,0.51,53.9,359.4,254.7,14.0,3.80,3.30,2.21,2.57,61.7,51.0,82.7,10.5,Matches
1293,James Justin\fb614c44,eng ENG,DF,Leicester City,eng Premier League,24-071,1998,8.1,69.4,4.69,26.4,30.2,17.3,1.85,61.2,0.37,0.99,37.5,0.49,0.12,38.9,163.6,97.8,3.83,1.48,0.37,0.25,1.36,45.2,40.1,88.8,2.59,Matches
1294,Jutglà\2a9f6b4d,es ESP,FW,Barcelona,es La Liga,23-093,1999,3.3,47.3,0.00,3.03,21.2,25.2,4.85,45.2,0.61,1.52,40.0,0.61,0.00,31.8,164.2,74.8,4.24,0.61,2.12,1.82,1.52,49.4,39.4,79.8,8.79,Matches
