Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
32,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-218,1995,25.3,62.3,7.94,33.5,31.1,1.62,0.43,61.3,0.24,0.28,85.7,0.24,0.00,40.8,236.7,131.5,3.79,0.28,0.04,0.32,0.28,40.7,40.3,98.9,0.20,Matches
33,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-209,1996,14.0,60.4,3.29,14.8,29.0,20.6,2.00,51.7,1.00,2.07,48.3,1.07,0.14,32.9,179.9,107.9,5.07,1.71,0.71,1.50,1.21,40.0,34.2,85.5,2.71,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-333,2001,16.3,63.7,3.07,22.6,24.2,20.2,2.52,53.1,2.02,3.80,53.2,2.27,0.12,38.3,180.7,114.4,5.95,1.10,0.92,1.53,1.60,40.9,36.1,88.3,2.94,Matches
35,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,24-018,1998,19.5,49.5,5.38,20.9,23.5,8.31,1.49,42.7,0.51,0.77,66.7,0.51,0.00,24.6,148.8,88.8,3.13,1.18,0.10,0.62,0.56,25.7,23.0,89.4,0.87,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,28-069,1994,28.9,42.1,1.18,3.70,22.0,17.8,5.19,41.3,0.52,1.04,50.0,0.62,0.03,21.5,72.0,31.0,1.66,0.69,0.24,2.53,1.49,52.6,32.6,61.9,8.65,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-290,1995,23.1,85.0,10.4,43.3,45.1,2.81,0.91,83.1,0.30,0.30,100.0,0.30,0.00,58.5,344.7,178.4,4.72,0.48,0.00,0.17,0.17,65.1,64.4,98.9,0.26,Matches
38,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,29-054,1993,17.9,51.3,4.53,19.7,22.6,12.2,0.50,43.6,0.61,1.01,61.1,0.73,0.17,25.2,148.4,80.4,3.35,1.51,0.17,0.67,0.56,25.4,22.2,87.3,1.56,Matches
39,Marley Aké\414e1f69,fr FRA,FW,Juventus,it Serie A,21-120,2001,0.1,50.0,0.00,10.0,10.0,40.0,0.00,50.0,0.00,0.00,,0.00,0.00,40.0,60.0,20.0,0.00,0.00,0.00,0.00,10.0,40.0,40.0,100.0,10.0,Matches
40,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,27-076,1995,9.9,91.4,6.46,33.2,54.1,11.6,0.91,87.4,0.00,0.20,0.0,0.00,0.00,66.0,349.3,223.1,7.47,1.31,0.00,0.20,0.10,73.3,70.3,95.9,0.20,Matches
41,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,18-019,2004,1.4,50.7,0.00,5.00,14.3,35.7,5.71,50.7,0.71,2.14,33.3,0.71,0.71,45.0,195.7,120.7,8.57,1.43,2.14,0.00,2.14,45.0,40.0,88.9,2.86,Matches
42,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,20-069,2002,0.6,61.7,0.00,6.67,23.3,36.7,8.33,61.7,1.67,6.67,25.0,1.67,0.00,48.3,235.0,121.7,8.33,5.00,0.00,5.00,0.00,61.7,46.7,75.7,10.0,Matches
43,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-136,1997,5.7,66.7,2.11,14.7,44.7,9.12,0.35,66.1,1.05,1.58,66.7,1.05,0.00,45.3,166.7,76.0,2.98,0.35,0.00,0.70,1.05,48.9,47.5,97.1,0.88,Matches
44,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-206,1992,3.4,47.1,2.35,11.2,27.4,11.8,0.29,47.1,2.06,3.53,58.3,2.35,0.00,33.5,128.2,65.0,1.18,0.88,0.00,1.18,1.47,36.8,30.3,82.4,3.24,Matches
45,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,27-016,1995,16.0,68.0,3.44,22.6,31.8,17.5,2.19,57.3,1.06,2.06,51.5,1.06,0.13,38.3,180.6,101.4,4.06,1.19,0.81,1.06,0.88,42.0,37.6,89.6,1.25,Matches
46,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-315,1992,29.4,73.8,8.74,33.6,36.5,10.0,1.67,70.7,0.17,0.27,62.5,0.17,0.00,54.4,331.9,181.2,4.29,1.50,0.27,0.41,0.24,59.4,57.4,96.7,1.84,Matches
47,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-280,1998,1.8,75.0,4.44,21.7,40.0,17.2,0.00,69.4,1.11,2.78,40.0,1.11,0.56,48.9,166.1,97.2,4.44,2.78,0.00,1.67,0.00,51.1,46.7,91.3,1.67,Matches
48,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,23-106,1999,14.8,47.8,3.58,14.5,25.2,9.86,0.68,43.5,0.27,0.61,44.4,0.34,0.00,25.5,95.5,37.8,0.88,0.41,0.00,0.68,0.88,25.7,23.4,91.1,1.28,Matches
49,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-209,1992,6.3,34.6,0.79,3.02,14.3,19.0,7.30,33.3,1.27,1.59,80.0,1.27,0.16,22.2,78.4,28.4,1.59,0.48,0.48,3.17,2.22,42.5,26.7,62.7,7.46,Matches
50,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,33-045,1989,26.4,103.1,3.07,25.3,50.7,31.8,2.80,91.0,0.27,0.80,33.3,0.30,0.19,64.8,223.8,120.9,5.49,1.48,0.38,0.68,0.27,77.8,73.2,94.2,3.56,Matches
51,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,30-104,1992,0.2,50.0,10.0,25.0,20.0,10.0,5.00,45.0,0.00,0.00,,0.00,0.00,30.0,50.0,35.0,0.00,5.00,0.00,0.00,0.00,30.0,30.0,100.0,10.0,Matches
52,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-219,1992,24.5,83.0,0.94,12.6,46.7,30.1,1.47,75.7,0.94,1.67,56.1,1.02,0.29,61.0,304.9,178.9,7.39,3.43,0.33,0.65,1.10,70.3,64.3,91.5,3.59,Matches
53,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-243,1985,23.5,67.2,10.0,38.7,33.1,1.36,0.34,65.2,0.21,0.30,71.4,0.21,0.00,43.3,290.4,169.4,2.89,0.09,0.00,0.13,0.13,47.1,46.7,99.0,0.00,Matches
54,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,32-168,1989,12.1,55.2,2.81,12.6,25.4,20.1,0.99,47.1,1.32,2.89,45.7,1.49,0.33,32.8,134.6,61.7,2.40,0.91,0.17,1.16,0.99,40.7,32.0,78.7,2.31,Matches
55,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-248,1993,6.9,27.4,0.29,1.74,10.6,15.5,5.36,25.2,0.58,0.87,66.7,0.58,0.00,14.2,56.5,25.2,1.45,0.29,0.14,1.88,0.87,35.5,19.0,53.5,6.52,Matches
56,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,31-024,1991,15.2,96.8,2.24,15.8,65.1,22.3,1.64,95.8,0.92,1.45,63.6,0.92,0.00,71.9,319.2,170.6,9.28,2.83,0.26,0.59,0.79,76.8,73.4,95.5,2.83,Matches
57,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,31-004,1991,10.1,66.8,1.88,13.8,45.0,12.5,1.49,64.1,0.30,0.50,60.0,0.30,0.30,44.5,249.2,129.0,4.95,1.19,0.00,1.58,1.19,46.6,43.4,93.0,0.99,Matches
58,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,25-130,1996,23.7,47.2,8.10,26.1,21.9,2.28,0.89,45.1,0.25,0.42,60.0,0.30,0.00,20.3,144.2,84.4,1.73,0.30,0.00,0.21,0.34,19.8,19.3,97.4,0.13,Matches
59,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,27-084,1995,10.7,44.6,2.24,11.3,18.7,20.4,1.68,43.6,1.59,3.55,44.7,1.87,0.09,32.1,262.7,161.8,7.10,2.52,0.47,2.80,2.90,38.8,28.2,72.8,3.18,Matches
60,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,19-188,2002,12.0,35.1,29.3,34.8,0.42,0.00,0.00,26.9,0.00,0.00,,0.00,0.00,18.2,75.4,33.4,0.00,0.00,0.00,0.00,0.00,18.1,17.9,99.1,0.00,Matches
61,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,24-120,1998,24.1,42.7,0.54,5.35,25.2,14.6,0.87,41.2,0.58,1.37,42.4,0.71,0.08,31.2,146.9,68.0,3.44,1.04,0.12,1.24,1.66,38.2,30.7,80.3,3.24,Matches
62,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-210,1998,28.7,94.1,2.51,18.9,44.2,35.0,2.65,76.6,0.77,1.32,57.9,0.77,0.00,53.4,182.2,96.3,4.60,1.88,0.35,0.77,0.77,62.3,58.2,93.5,4.01,Matches
63,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,22-038,2000,0.2,85.0,10.0,30.0,45.0,15.0,0.00,55.0,10.0,15.0,66.7,10.0,0.00,35.0,120.0,70.0,0.00,0.00,0.00,0.00,0.00,20.0,20.0,100.0,0.00,Matches
64,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,18-106,2004,18.5,28.6,0.11,2.22,13.8,15.6,3.89,28.2,1.19,2.59,45.8,1.24,0.11,21.2,129.6,88.8,4.00,1.35,0.81,3.24,2.43,38.2,20.9,54.7,7.03,Matches
65,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-215,1992,32.0,41.3,31.1,41.0,0.38,0.00,0.00,34.6,0.06,0.09,66.7,0.06,0.00,23.7,82.1,44.0,0.00,0.00,0.00,0.03,0.00,23.7,23.5,99.2,0.00,Matches
66,Allan\cc700722,br BRA,MF,Everton,eng Premier League,31-117,1991,24.1,50.7,3.36,14.0,31.1,8.51,0.46,48.3,0.66,1.00,66.7,0.66,0.12,31.3,156.1,80.8,4.15,1.08,0.08,0.79,1.29,29.1,27.0,92.6,0.79,Matches
