"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"147","Hugo Magnetti\d4d35152","MF","Brest","fr Ligue 1",15.4,85.8,0.03,2.27,131.1,0.45,2.99,6.56,1.17,2.47,22.5,8.25,2.73,0.84,1.17,0.91,53.1,34.7,35.5,55.6,0.52,0
"148","Arne Maier\ab700320","MF","Augsburg","de Bundesliga",19.2,72.2,0.15,2.71,170.1,1.35,2.55,7.66,2.86,0.63,16.3,4.38,0.89,0.73,1.2,0.26,49.9,25.7,29,58.6,0.94,0.06
"149","Lovro Majer\fc46aab1","MF","Rennes","fr Ligue 1",17.5,76.9,0.27,3.49,182.9,2.06,3.66,12.1,4.45,1.83,22.7,6.86,1.2,0.46,1.37,0.74,66.1,34.6,49.5,52.3,0.34,0.13
"150","Jean-Victor Makengo\22bfb57e","MF","Udinese","it Serie A",23.5,83.2,0.07,1.87,97.6,1.02,2.21,6,2.08,0.77,11.8,4.43,1.19,0.51,1.45,0.55,41.1,23.6,29.9,65.8,0.6,0.03
"151","Nemanja Maksimović\00b28772","MF","Getafe","es La Liga",29.8,78.6,0.02,1.31,72.7,0.64,1.51,5.4,1.34,1.17,19,5.27,2.05,1.17,2.38,0.64,37.5,21.1,19.3,66.7,1.58,0.03
"152","Orel Mangala\a572e291","MF","Stuttgart","de Bundesliga",19.1,83.6,0.11,2.09,102.8,1.47,2.09,7.85,2.51,0.68,11.3,3.72,1.47,0.84,0.94,0.37,50.4,27.9,39.4,65.7,0.84,0.06
"153","Thomas Mangani\c801616a","MF","Angers","fr Ligue 1",23.1,79.7,0.07,5.11,272,1,4.85,8.31,1.82,1.86,23.5,6.58,1.69,1.77,1.73,1.04,70.3,43.5,39.9,77.8,1.3,0.11
"154","Răzvan Marin\7fac99d4","MF","Cagliari","it Serie A",29.7,78.1,0.2,3.43,190.2,2.15,3.27,5.35,3.43,1.01,17.2,4.71,0.81,0.54,1.08,0.51,49.3,26.7,33,56.3,0.74,0
"155","Jonas Martin\468fdbad","MF","Rennes","fr Ligue 1",22.3,90.5,0.07,4.26,296.9,0.54,5.47,9.42,1.62,0.85,14.2,3.68,1.26,1.3,1.12,0.76,79,55.2,56,57.1,0.94,0.05
"156","Omar Mascarell\11fd2b75","MF","Elche","es La Liga",24.8,86.4,0.01,2.18,157.5,0.2,2.46,6.33,0.52,0.73,16.2,3.99,1.41,2.22,2.58,0.73,52.1,33.8,31.3,73.3,1.65,0
"157","Pape Matar Sarr\feb5d972","MF","Metz","fr Ligue 1",21.1,82.9,0.05,3.27,159.4,0.95,3.51,6.16,2.46,1.52,17.9,5.02,1.85,1.09,1.37,0.52,56.4,36.3,40,57.8,1.56,0.03
"158","Azor Matusiwa\a17a94d6","MF","Reims","fr Ligue 1",24.4,84.2,0.04,2.99,159.4,0.57,3.4,9.02,1.15,1.64,16.6,4.92,2.42,2.05,2.25,1.07,54.5,33.1,32.5,89.5,1.15,0.1
"159","James McArthur\cee31595","MF","Crystal Palace","eng Premier League",15.9,83.2,0.07,4.09,194.6,0.94,3.77,11.8,1.82,1.64,23.3,7.99,2.08,2.64,2.14,0.94,70.1,41.7,47,73.9,2.08,0
"160","John McGinn\90f91999","MF","Aston Villa","eng Premier League",29.3,75.2,0.13,5.05,262.5,1.57,5.36,5.8,2.8,1.84,16.3,5.26,1.6,1.16,1.67,1.33,51.8,28.6,33.9,61.4,0.72,0.08
"161","Kenny McLean\471f16b3","MF","Norwich City","eng Premier League",30.1,73.8,0.02,2.76,145.8,0.27,2.36,7.31,1.13,0.8,17.2,3.85,1.83,1.83,1.06,0.56,45.1,23.9,26.1,53.1,2.86,0.03
"162","Dwight McNeil\fc15fb84","MF","Burnley","eng Premier League",30.7,68.8,0.14,1.95,128.5,1.27,1.6,7.17,2.58,1.04,19.9,4.85,2.05,0.59,2.38,0.68,45.7,21.3,34.3,55,0.55,0
"163","Scott McTominay\d93c2511","MF","Manchester Utd","eng Premier League",24.5,85.4,0.07,3.76,192.4,0.73,3.92,7.67,1.75,1.31,18,4.94,1.88,2.45,1.84,1.31,59.6,35.6,39.5,70.2,2.69,0.04
"164","Gonzalo Melero\3902e91b","MF","Levante","es La Liga",17.4,85,0.05,3.22,115.6,0.8,2.7,9.25,1.73,1.21,14.6,3.62,0.86,1.26,1.15,0.86,52,32.2,35.3,63.2,1.26,0.17
"165","Brais Méndez\c9e39d91","MF","Celta Vigo","es La Liga",29.9,79.4,0.08,4.05,161.9,0.94,4.01,7.36,2.04,1.2,23,6.79,1.57,1.1,2.04,0.74,60,33.5,40.5,48.6,1.94,0.08
"166","Mikel Merino\d080ed5e","MF","Real Sociedad","es La Liga",28.1,78.8,0.11,5.73,251.5,0.82,5.12,12.8,2.28,1.6,18,5.55,1.17,1.89,1.78,0.64,67.8,39.9,45.8,56.3,3.49,0.08
"167","Sergej Milinković-Savić\4e6dbac4","MF","Lazio","it Serie A",31.4,81.4,0.18,4.68,229.9,1.43,4.65,12.8,2.96,1.24,15.9,4.46,1.46,1.56,1.59,0.32,82.1,46.9,56,47.1,2.93,0.15
"168","Luis Milla\19c36442","MF","Granada","es La Liga",26.8,80.2,0.13,5.04,268.7,1.34,5.15,7.61,2.31,1.01,17.7,5.26,1.46,1.12,1.34,0.49,58.4,36.6,36.8,64.7,1.23,0
"169","Luka Modrić\6025fab1","MF","Real Madrid","es La Liga",20.7,88.2,0.15,7.29,360.8,1.55,7.73,10.1,3.09,0.58,13.4,4.01,1.4,0.29,0.68,0.29,84.4,44.2,63.9,61.5,0.43,0.04
"170","Jon Moncayola\9939e168","MF","Osasuna","es La Liga",30.2,77.1,0.07,2.98,168.4,0.99,3.15,7.09,1.72,0.56,17.3,4.3,1.03,1.13,1.66,0.46,49.4,28.5,28.3,66.7,0.79,0.05
"171","Thomas Monconduit\84d94b91","MF","Lorient","fr Ligue 1",23.4,77.6,0.12,5.38,249.6,1.24,4.91,9.1,2.77,1.2,19.7,4.87,1.32,2.18,1.37,0.43,62.3,38.8,37.1,64.7,1.84,0.09
"172","Tete Morente\004d185e","MF","Elche","es La Liga",16,70.1,0.13,2.69,108.9,0.94,1.63,5.06,1.82,0.75,17.6,4.44,0.88,0.75,1.75,0.5,44.9,21.4,31.2,44.4,1.13,0.12
"173","João Moutinho\f5a00fa4","MF","Wolves","eng Premier League",29.1,84.5,0.08,4.16,214.4,1.2,4.47,10.3,2.1,1.79,18.6,5.88,1.58,1.17,1.65,0.89,69.9,40.7,44.8,75,0.52,0.11
"174","Thomas Müller\3c6089ab","MF","Bayern Munich","de Bundesliga",26.8,74.3,0.39,5,165.6,2.54,2.69,11,4.77,0.93,16.9,5.56,0.75,0.6,1.31,0.49,62.6,28.4,38.3,53.8,1.6,0.14
"175","Iker Muniain\c05dfb74","MF","Athletic Club","es La Liga",26.9,78.4,0.31,6.13,257.3,3.42,3.64,6.84,5.64,0.71,11.2,2.9,0.74,0.26,0.78,0.63,61.4,30.4,43.8,57.7,0.22,0.08
"176","Loum Ndiaye\bcfc4473","MF","Alavés","es La Liga",22.8,73.7,0,2.11,112.5,0.18,2.28,6.75,0.66,1.36,22.4,5,1.62,3.29,1.45,0.96,45.3,28.3,25.2,69.7,3.86,0.06
"177","Florian Neuhaus\36a59ba4","MF","M'Gladbach","de Bundesliga",21.6,78.4,0.08,5.56,220.2,0.83,3.56,9.35,1.95,1.71,16.1,5.42,1.81,0.79,2.27,0.88,59.4,35.9,40,57.1,0.51,0.09
"178","Rúben Neves\44bfb6c5","MF","Wolves","eng Premier League",25.7,82.6,0.07,4.75,276.8,0.66,6.65,11.2,1.71,1.63,18.7,5.29,1.95,1.83,1.48,0.82,77.4,47.4,54.4,70.6,0.93,0.1
"179","Mathias Normann\8996350d","MF","Norwich City","eng Premier League",16.5,68.1,0.08,3.7,212.4,0.67,2.91,6.91,1.88,1.45,17.5,3.45,1.39,2.42,1.52,0.67,55.5,29.2,31.4,70.4,1.64,0.04
"180","Christian Nørgaard\df0a4c90","MF","Brentford","eng Premier League",31.9,79.3,0.08,4.83,205.9,0.75,4.26,8.09,1.38,2.45,20.6,6.39,2.57,1.63,1.76,1.6,60.2,36.3,30.7,54.2,1.79,0.12
"181","Jean Onana\b5bb8188","MF","Bordeaux","fr Ligue 1",19.6,80.8,0.09,3.78,200.2,0.87,3.98,10,1.88,2.81,24.6,8.01,3.01,1.12,2.35,1.48,68.9,43.5,45.2,66.7,2.5,0.14
"182","Azzedine Ounahi\83299cc0","MF","Angers","fr Ligue 1",17.5,86.4,0.09,4.34,183.1,0.97,4.4,9.49,2.4,1.43,21.1,4.97,1.77,0.8,1.2,0.69,63.3,37.3,49.8,47.4,0.69,0.08
"183","Salih Özcan\15413fa5","MF","Köln","de Bundesliga",23.7,84.1,0.05,3.67,174.4,0.63,3.04,8.86,1.94,1.81,19.7,8.35,3,1.77,1.9,1.05,64.9,38.6,38.6,69.7,2.57,0.09
"184","Vincent Pajot\f86ca403","MF","Metz","fr Ligue 1",23.8,86,0.01,2.31,149.8,0.55,3.49,5.55,1.22,1.93,20.9,6.47,2.56,1.51,1.76,0.59,54.4,36.5,33.5,60,1.18,0
"185","Daniel Parejo\7460ca0d","MF","Villarreal","es La Liga",26,83.8,0.22,7.46,409.4,2.31,7.81,9.23,3.84,1.12,15.8,4.96,1.19,0.69,1.54,0.54,82,49.5,54,69,0.77,0.08
"186","Thomas Partey\529f49ab","MF","Arsenal","eng Premier League",22.5,85.9,0.06,5.16,210.8,0.8,4.93,6.84,2.26,1.82,12.9,4.58,1.47,1.42,1.24,0.8,63.3,37.6,44,72.5,1.02,0.05
"187","Lorenzo Pellegrini\4a5a45c7","MF","Roma","it Serie A",22.7,72,0.23,3.66,207,2.6,3.35,7.14,5.11,0.7,18.7,4.36,1.23,0.7,1.1,0.48,57.3,28.4,38.2,46.8,0.7,0.09
"188","Danilo Pereira\8fd9996f","MF","Paris S-G","fr Ligue 1",20.8,94.3,0.01,2.5,275.3,0.24,4.28,8.94,0.82,0.96,11.5,3.13,2.02,1.25,1.11,0.53,77.3,52.2,57.9,47.1,1.44,0.31
"189","Tomás Pina Isla\e54bd0a2","MF","Alavés","es La Liga",15.3,79.3,0.02,2.35,130.1,0.13,2.68,7.39,0.65,1.5,18.4,5.23,1.5,1.57,1.37,0.39,44.8,27.8,23.1,40,2.09,0
"190","Tommaso Pobega\55a1cac2","MF","Torino","it Serie A",23.2,81,0.03,3.92,189.1,0.78,4.18,9.18,2.41,1.34,19.4,6.64,1.47,1.59,1.72,0.69,59,35.8,35.2,57.9,3.53,0.09
"191","Sanjin Prcić\51c30111","MF","Strasbourg","fr Ligue 1",21.5,84.9,0.09,5.44,251.5,0.93,5.67,8.42,2.28,1.35,12.9,4.28,2.09,0.98,0.93,0.7,67.4,39.3,42.3,42.9,0.7,0.02
"192","Manuel Prietl\901c0f97","MF","Arminia","de Bundesliga",21.6,78.1,0.04,1.94,103,0.23,1.94,4.72,0.97,1.57,19.5,6.48,2.59,1.71,1.16,0.69,37,20.6,20.2,66.7,1.3,0
