"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"230","Youri Tielemans\56f7a928","MF","Leicester City","eng Premier League",25.2,82.3,0.14,5.56,255.6,1.31,5.4,10.4,2.77,1.55,16.3,4.76,1.55,1.51,1.63,0.95,70.4,40.4,45.3,61.5,0.83,0.08
"231","Timothy Tillman\a5bea1fb","MF","Greuther Fürth","de Bundesliga",20.5,70.6,0.1,2.83,128.4,1.07,1.9,7.56,2.05,1.17,20.3,6.39,1.41,1.22,2.05,0.88,46,24.3,30.6,56.1,0.54,0.05
"232","Sandro Tonali\0db169ae","MF","Milan","it Serie A",26.7,81.9,0.12,3.67,240.6,1.54,4.04,5.02,2.51,1.31,20.5,6.55,1.99,0.71,1.42,0.6,62.4,36.1,40.7,67.4,0.6,0.09
"233","Lucas Torreira\52611641","MF","Fiorentina","it Serie A",23.5,87.7,0.07,4.64,230.7,0.94,3.83,8.34,2.47,1.4,16.5,4.85,1.62,1.23,0.34,0.89,63.9,40.8,38.2,46.2,1.36,0.17
"234","Lucas Torró\0e4fef6e","MF","Osasuna","es La Liga",28.1,78.2,0.01,4.16,153.3,0.25,3.02,10.3,1.03,1.81,16.7,5.23,2.53,2.38,1.81,1.32,54.2,35.4,28,71.4,4.73,0.03
"235","Lucas Tousart\71ec39ef","MF","Hertha BSC","de Bundesliga",19.8,74.6,0.05,3.84,163.6,0.61,3.38,8.23,1.57,1.36,22.4,6.92,1.97,3.03,1.92,0.4,48.3,27.8,27.8,48.3,2.32,0.09
"236","Andros Townsend\b28bbd58","MF","Everton","eng Premier League",16.2,70.2,0.15,2.84,128.1,1.85,1.11,5.86,3.34,0.93,18.6,6.05,1.3,0.37,2.72,0.49,44.1,18.6,30.3,55.8,0.31,0.1
"237","Boubacar Traoré\999ceb5f","MF","Metz","fr Ligue 1",16.5,83.4,0.05,3.52,161.5,0.73,2.55,7.58,1.75,2.24,29.3,8.36,1.7,0.91,1.94,0.55,52,36.3,36.5,62.2,1.09,0.05
"238","Óscar Trejo\fc647b34","MF","Rayo Vallecano","es La Liga",21.5,76.5,0.2,4.74,190.6,2.37,4,7.77,4.56,1.44,25.8,6.56,0.79,0.6,1.21,0.65,61.5,34.1,43.6,55.9,1.16,0
"239","Óscar Valentín\592f3158","MF","Rayo Vallecano","es La Liga",25.1,84.5,0.04,4.1,205.8,0.52,4.42,8.57,1.04,2.31,27.3,9.64,2.95,1.79,1.91,1.79,57.7,38.3,34.5,57.1,1.67,0
"240","Federico Valverde\0959c2a2","MF","Real Madrid","es La Liga",18,87.6,0.11,3.28,194.4,1.17,5.11,5.22,3,1.11,15.6,5.22,1.94,0.72,1.33,0.33,66.5,37,48.2,62.5,0.78,0
"241","José Luis García Vayá\27dc1378","MF","Levante","es La Liga",19.6,79.7,0.1,4.29,245.9,1.12,4.8,9.39,1.94,1.48,19.3,5.46,1.58,1.48,1.58,0.97,65.3,40.3,41.2,68.8,1.68,0
"242","Unai Vencedor Paris\4112ace5","MF","Athletic Club","es La Liga",23.7,78.3,0.03,5.49,241,0.63,4.56,7.43,1.48,0.8,16.2,3.76,0.93,1.1,1.86,0.34,58.9,34.8,37.2,66.7,1.14,0
"243","Jordan Veretout\4a56052c","MF","Roma","it Serie A",23.1,84.5,0.19,3.98,258.3,2.21,5.02,6.45,3.46,1.34,16,4.81,1.04,0.95,0.61,0.39,63.2,38.3,41.3,46.7,0.52,0.13
"244","Marco Verratti\1467af0d","MF","Paris S-G","fr Ligue 1",18.8,91.7,0.14,7.71,409.9,1.38,7.98,15.4,2.93,2.07,24.9,6.12,1.17,0.48,1.7,0.9,110.7,69.8,87.5,81.8,0.27,0.29
"245","Walace\26db8853","MF","Udinese","it Serie A",30,81.8,0.07,3.63,203.5,0.8,4.37,6.87,2.03,2.03,17.7,6.47,2.5,1.13,1.47,1.3,59.8,35.3,38.8,67.6,0.87,0.02
"246","James Ward-Prowse\3515d404","MF","Southampton","eng Premier League",32.7,77.7,0.19,3.64,273.1,2.05,4.37,7,3.21,0.8,15.3,4.74,1.68,1.25,1.74,0.4,68.7,36.5,36.4,60.9,0.95,0.13
"247","Daniel Wass\d83bbc54","MF","Valencia","es La Liga",17.6,78.9,0.03,3.47,173.8,0.74,3.47,5.74,1.37,1.25,13.7,3.07,0.91,1.19,1.25,0.4,47,28.7,25.5,90.9,1.53,0.04
